invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
20000,2,7,1,20000,6963225,6985171,21946,1,0,0,0,0,0,0,2420,1,1
20001,2,7,4,20001,7000222,7021844,21622,1,0,0,0,0,0,0,2420,1,1
20002,2,7,2,20002,7036563,7098415,61852,6,3,2,0,0,0,0,2420,1,1
20003,2,7,3,20003,7113132,7173532,60400,6,4,1,0,0,0,0,2420,1,1
20004,2,7,4,20004,7188247,7209849,21602,1,0,0,0,0,0,0,2420,1,1
20005,2,7,3,20005,7224568,7246171,21603,1,0,0,0,0,0,0,2420,1,1
20006,2,7,3,20006,7260886,7330141,69255,7,4,2,0,0,0,0,2420,1,1
20007,2,7,4,20007,7344860,7366462,21602,1,0,0,0,0,0,0,2420,1,1
20008,2,7,0,20008,7381181,7441548,60367,6,4,1,0,0,0,0,2420,1,1
20009,2,7,2,20009,7456275,7494288,38013,3,1,1,0,0,0,0,2420,1,1
20010,2,7,1,20010,7509003,7590303,81300,8,3,3,0,1,0,0,2420,1,1
20011,2,7,1,20011,7605030,7651956,46926,4,1,2,0,0,0,0,2420,1,1
20012,2,7,0,20012,7666683,7688301,21618,1,0,0,0,0,0,0,2420,1,1
20013,2,7,3,20013,7703028,7724630,21602,1,0,0,0,0,0,0,2420,1,1
20014,2,7,2,20014,7739345,7760947,21602,1,0,0,0,0,0,0,2420,1,1
20015,2,7,1,20015,7775666,7828618,52952,5,3,1,0,0,0,0,2420,1,1
20016,2,7,1,20016,7843346,7864964,21618,1,0,0,0,0,0,0,2420,1,1
20017,2,7,2,20017,7879686,7931140,51454,5,4,0,0,0,0,0,2420,1,1
20018,2,7,1,20018,7945860,7983902,38042,3,1,1,0,0,0,0,2420,1,1
20019,2,7,0,20019,7998625,8020243,21618,1,0,0,0,0,0,0,2420,1,1
20020,2,7,1,20020,8034971,8071539,36568,3,2,0,0,0,0,0,2420,1,1
20021,2,7,1,20021,8086266,8116794,30528,2,0,1,0,0,0,0,2420,1,1
20022,2,7,1,20022,8131518,8185921,54403,5,2,2,0,0,0,0,2420,1,1
20023,2,7,2,20023,8200644,8222246,21602,1,0,0,0,0,0,0,2420,1,1
20024,2,7,0,20024,8236965,8306301,69336,7,4,2,0,0,0,0,2420,1,1
20025,2,7,3,20025,8321024,8391747,70723,7,3,3,0,0,0,0,2420,1,1
20026,2,7,0,20026,8406466,8428083,21617,1,0,0,0,0,0,0,2420,1,1
20027,2,7,4,20027,8442811,8471889,29078,2,1,0,0,0,0,0,2420,1,1
20028,2,7,3,20028,8486608,8508210,21602,1,0,0,0,0,0,0,2420,1,1
20029,2,7,2,20029,8522929,8616035,93106,10,6,3,0,0,0,0,2420,1,1
20030,2,7,1,20030,8630752,8659831,29079,2,1,0,0,0,0,0,2420,1,1
20031,2,7,4,20031,8674558,8696160,21602,1,0,0,0,0,0,0,2420,1,1
20032,2,7,1,20032,8710875,8732492,21617,1,0,0,0,0,0,0,2420,1,1
20033,2,7,1,20033,8747220,8822576,75356,8,6,1,0,0,0,0,2420,1,1
20034,2,7,0,20034,8837303,8910963,73660,7,1,5,0,0,0,0,2420,1,1
20035,2,7,2,20035,8925690,8947292,21602,1,0,0,0,0,0,0,2420,1,1
20036,2,7,4,20036,8962007,8991081,29074,2,1,0,0,0,0,0,2420,1,1
20037,2,7,3,20037,9005799,9034872,29073,2,1,0,0,0,0,0,2420,1,1
20038,2,7,3,20038,9049587,9078645,29058,2,1,0,0,0,0,0,2420,1,1
20039,2,7,1,20039,9093364,9123891,30527,2,0,1,0,0,0,0,2420,1,1
20040,2,7,4,20040,9138619,9258519,119900,13,6,6,0,0,0,0,2420,1,1
20041,2,7,0,20041,9273241,9302311,29070,2,1,0,0,0,0,0,2420,1,1
20042,2,7,1,20042,9317039,9401255,84216,9,6,2,0,0,0,0,2420,1,1
20043,2,7,0,20043,9415982,9446530,30548,2,0,1,0,0,0,0,2420,1,1
20044,2,7,0,20044,9461253,9570777,109524,12,7,4,0,0,0,0,2420,1,1
20045,2,7,4,20045,9585507,9632391,46884,4,1,2,0,0,0,0,2420,1,1
20046,2,7,3,20046,9647110,9668713,21603,1,0,0,0,0,0,0,2420,1,1
20047,2,7,1,20047,9683432,9712514,29082,2,1,0,0,0,0,0,2420,1,1
20048,2,7,1,20048,9727241,9778706,51465,5,4,0,0,0,0,0,2420,1,1
20049,2,7,4,20049,9793432,9906040,112608,12,6,4,0,1,0,0,2420,1,1
20050,2,7,3,20050,9920758,10005015,84257,9,6,2,0,0,0,0,2420,1,1
20051,2,7,3,20051,10019731,10108330,88599,9,3,5,0,0,0,0,2420,1,1
20052,2,7,1,20052,10123050,10144668,21618,1,0,0,0,0,0,0,2420,1,1
20053,2,7,3,20053,10159392,10206340,46948,4,1,2,0,0,0,0,2420,1,1
20054,2,7,0,20054,10221058,10284417,63359,6,2,3,0,0,0,0,2420,1,1
20055,2,7,4,20055,10299143,10337139,37996,3,1,1,0,0,0,0,2420,1,1
20056,2,7,0,20056,10351857,10446452,94595,10,5,4,0,0,0,0,2420,1,1
20057,2,7,4,20057,10461179,10482785,21606,1,0,0,0,0,0,0,2420,1,1
