invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
40000,4,2,0,40000,6963250,6994217,30967,2,0,1,0,0,0,0,2420,1,1
40001,4,2,2,40001,7009357,7031109,21752,1,0,0,0,0,0,0,2420,1,1
40002,4,2,0,40002,7045951,7157046,111095,12,6,5,0,0,0,0,2420,1,1
40003,4,2,1,40003,7171891,7193651,21760,1,0,0,0,0,0,0,2420,1,1
40004,4,2,0,40004,7208491,7230247,21756,1,0,0,0,0,0,0,2420,1,1
40005,4,2,3,40005,7245078,7266826,21748,1,0,0,0,0,0,0,2420,1,1
40006,4,2,1,40006,7281664,7303433,21769,1,0,0,0,0,0,0,2420,1,1
40007,4,2,0,40007,7318279,7340035,21756,1,0,0,0,0,0,0,2420,1,1
40008,4,2,0,40008,7354878,7393021,38143,3,1,1,0,0,0,0,2420,1,1
40009,4,2,1,40009,7407844,7453461,45617,4,2,1,0,0,0,0,2420,1,1
40010,4,2,2,40010,7468295,7490039,21744,1,0,0,0,0,0,0,2420,1,1
40011,4,2,1,40011,7504866,7551924,47058,4,1,2,0,0,0,0,2420,1,1
40012,4,2,3,40012,7566778,7636218,69440,7,4,2,0,0,0,0,2420,1,1
40013,4,2,1,40013,7651041,7672805,21764,1,0,0,0,0,0,0,2420,1,1
40014,4,2,2,40014,7687659,7709404,21745,1,0,0,0,0,0,0,2420,1,1
40015,4,2,1,40015,7724230,7753439,29209,2,1,0,0,0,0,0,2420,1,1
40016,4,2,0,40016,7768289,7821324,53035,5,3,1,0,0,0,0,2420,1,1
40017,4,2,3,40017,7836152,7857895,21743,1,0,0,0,0,0,0,2420,1,1
40018,4,2,1,40018,7872730,7894494,21764,1,0,0,0,0,0,0,2420,1,1
40019,4,2,0,40019,7909337,7986285,76948,8,5,2,0,0,0,0,2420,1,1
40020,4,2,2,40020,8001120,8039243,38123,3,1,1,0,0,0,0,2420,1,1
40021,4,2,2,40021,8054069,8075810,21741,1,0,0,0,0,0,0,2420,1,1
40022,4,2,4,40022,8090676,8180876,90200,9,2,6,0,0,0,0,2420,1,1
40023,4,2,4,40023,8195719,8302265,106546,11,3,7,0,0,0,0,2420,1,1
40024,4,2,3,40024,8317126,8355246,38120,3,1,1,0,0,0,0,2420,1,1
40025,4,2,4,40025,8370069,8391817,21748,1,0,0,0,0,0,0,2420,1,1
40026,4,2,0,40026,8406675,8428434,21759,1,0,0,0,0,0,0,2420,1,1
40027,4,2,4,40027,8443277,8497782,54505,5,2,2,0,0,0,0,2420,1,1
40028,4,2,2,40028,8512617,8559669,47052,4,1,2,0,0,0,0,2420,1,1
40029,4,2,1,40029,8574516,8623009,48493,4,0,3,0,0,0,0,2420,1,1
40030,4,2,1,40030,8637859,8659607,21748,1,0,0,0,0,0,0,2420,1,1
40031,4,2,0,40031,8674435,8696184,21749,1,0,0,0,0,0,0,2420,1,1
40032,4,2,3,40032,8711019,8732767,21748,1,0,0,0,0,0,0,2420,1,1
40033,4,2,2,40033,8747590,8793180,45590,4,2,1,0,0,0,0,2420,1,1
40034,4,2,3,40034,8808039,8846151,38112,3,1,1,0,0,0,0,2420,1,1
40035,4,2,4,40035,8860993,8897658,36665,3,2,0,0,0,0,0,2420,1,1
40036,4,2,0,40036,8912513,8983426,70913,7,3,3,0,0,0,0,2420,1,1
40037,4,2,2,40037,8998265,9042415,44150,4,3,0,0,0,0,0,2420,1,1
40038,4,2,4,40038,9057253,9079006,21753,1,0,0,0,0,0,0,2420,1,1
40039,4,2,0,40039,9093848,9123070,29222,2,1,0,0,0,0,0,2420,1,1
40040,4,2,3,40040,9137924,9207312,69388,7,4,2,0,0,0,0,2420,1,1
40041,4,2,1,40041,9222135,9333234,111099,12,6,5,0,0,0,0,2420,1,1
40042,4,2,0,40042,9348091,9414614,66523,7,6,0,0,0,0,0,2420,1,1
40043,4,2,0,40043,9429437,9540597,111160,12,6,5,0,0,0,0,2420,1,1
40044,4,2,1,40044,9555438,9602472,47034,4,1,2,0,0,0,0,2420,1,1
40045,4,2,1,40045,9617298,9655462,38164,3,1,1,0,0,0,0,2420,1,1
40046,4,2,3,40046,9670297,9723356,53059,5,3,1,0,0,0,0,2420,1,1
40047,4,2,4,40047,9738179,9767379,29200,2,1,0,0,0,0,0,2420,1,1
40048,4,2,4,40048,9782233,9821790,39557,3,0,2,0,0,0,0,2420,1,1
40049,4,2,1,40049,9836632,9935901,99269,11,8,2,0,0,0,0,2420,1,1
40050,4,2,4,40050,9950742,9972481,21739,1,0,0,0,0,0,0,2420,1,1
40051,4,2,4,40051,9987307,10017965,30658,2,0,1,0,0,0,0,2420,1,1
40052,4,2,3,40052,10032825,10124660,91835,10,7,2,0,0,0,0,2420,1,1
40053,4,2,2,40053,10139486,10264128,124642,14,9,4,0,0,0,0,2420,1,1
40054,4,2,4,40054,10278991,10300743,21752,1,0,0,0,0,0,0,2420,1,1
40055,4,2,2,40055,10315587,10368646,53059,5,3,1,0,0,0,0,2420,1,1
40056,4,2,4,40056,10383506,10435104,51598,5,4,0,0,0,0,0,2420,1,1
40057,4,2,3,40057,10449945,10471693,21748,1,0,0,0,0,0,0,2420,1,1
40058,4,2,1,40058,10486554,10508310,21756,1,0,0,0,0,0,0,2420,1,1
40059,4,2,1,40059,10523153,10600084,76931,8,5,2,0,0,0,0,2420,1,1
40060,4,2,4,40060,10614924,10669401,54477,5,2,2,0,0,0,0,2420,1,1
40061,4,2,1,40061,10684230,10773017,88787,9,3,5,0,0,0,0,2420,1,1
40062,4,2,2,40062,10787873,10839466,51593,5,4,0,0,0,0,0,2420,1,1
40063,4,2,3,40063,10854295,10931183,76888,8,5,2,0,0,0,0,2420,1,1
40064,4,2,3,40064,10946044,11024374,78330,8,4,3,0,0,0,0,2420,1,1
40065,4,2,0,40065,11039234,11060994,21760,1,0,0,0,0,0,0,2420,1,1
40066,4,2,3,40066,11075852,11097596,21744,1,0,0,0,0,0,0,2420,1,1
40067,4,2,2,40067,11112420,11143088,30668,2,0,1,0,0,0,0,2420,1,1
40068,4,2,4,40068,11157948,11227383,69435,7,4,2,0,0,0,0,2420,1,1
40069,4,2,3,40069,11242224,11271422,29198,2,1,0,0,0,0,0,2420,1,1
40070,4,2,0,40070,11286283,11316960,30677,2,0,1,0,0,0,0,2420,1,1
40071,4,2,4,40071,11331801,11378844,47043,4,1,2,0,0,0,0,2420,1,1
40072,4,2,1,40072,11393685,11431817,38132,3,1,1,0,0,0,0,2420,1,1
40073,4,2,1,40073,11446666,11475893,29227,2,1,0,0,0,0,0,2420,1,1
40074,4,2,3,40074,11490729,11570557,79828,8,3,4,0,0,0,0,2420,1,1
40075,4,2,4,40075,11585386,11741267,155881,18,12,5,0,0,0,0,2420,1,1
40076,4,2,4,40076,11756133,11792785,36652,3,2,0,0,0,0,0,2420,1,1
40077,4,2,1,40077,11807626,11860661,53035,5,3,1,0,0,0,0,2420,1,1
40078,4,2,1,40078,11875506,11962832,87326,9,4,4,0,0,0,0,2420,1,1
40079,4,2,0,40079,11977657,12008320,30663,2,0,1,0,0,0,0,2420,1,1
40080,4,2,0,40080,12023157,12044913,21756,1,0,0,0,0,0,0,2420,1,1
40081,4,2,3,40081,12059738,12081483,21745,1,0,0,0,0,0,0,2420,1,1
40082,4,2,2,40082,12096323,12204582,108259,12,8,3,0,0,0,0,2420,1,1
40083,4,2,1,40083,12219433,12265019,45586,4,2,1,0,0,0,0,2420,1,1
40084,4,2,2,40084,12279872,12332935,53063,5,3,1,0,0,0,0,2420,1,1
40085,4,2,4,40085,12347760,12378428,30668,2,0,1,0,0,0,0,2420,1,1
40086,4,2,2,40086,12393285,12461251,67966,7,5,1,0,0,0,0,2420,1,1
40087,4,2,4,40087,12476100,12563380,87280,9,4,4,0,0,0,0,2420,1,1
40088,4,2,4,40088,12578232,12632753,54521,5,2,2,0,0,0,0,2420,1,1
40089,4,2,2,40089,12647597,12684250,36653,3,2,0,0,0,0,0,2420,1,1
40090,4,2,3,40090,12699086,12807362,108276,12,8,3,0,0,0,0,2420,1,1
40091,4,2,4,40091,12822210,12852866,30656,2,0,1,0,0,0,0,2420,1,1
40092,4,2,3,40092,12867722,12947508,79786,8,3,4,0,0,0,0,2420,1,1
40093,4,2,3,40093,12962349,12984086,21737,1,0,0,0,0,0,0,2420,1,1
40094,4,2,0,40094,12998959,13060884,61925,6,3,2,0,0,0,0,2420,1,1
40095,4,2,1,40095,13075730,13104944,29214,2,1,0,0,0,0,0,2420,1,1
40096,4,2,0,40096,13119781,13149007,29226,2,1,0,0,0,0,0,2420,1,1
40097,4,2,3,40097,13163835,13249643,85808,9,5,3,0,0,0,0,2420,1,1
40098,4,2,2,40098,13264484,13347214,82730,8,1,6,0,0,0,0,2420,1,1
40099,4,2,2,40099,13362063,13479237,117174,13,8,4,0,0,0,0,2420,1,1
40100,4,2,1,40100,13494112,13565061,70949,7,3,3,0,0,0,0,2420,1,1
40101,4,2,4,40101,13579902,13601643,21741,1,0,0,0,0,0,0,2420,1,1
40102,4,2,1,40102,13616484,13638243,21759,1,0,0,0,0,0,0,2420,1,1
40103,4,2,2,40103,13653089,13674834,21745,1,0,0,0,0,0,0,2420,1,1
40104,4,2,3,40104,13689671,13726377,36706,3,2,0,0,0,0,0,2420,1,1
40105,4,2,0,40105,13741226,13770463,29237,2,1,0,0,0,0,0,2420,1,1
40106,4,2,4,40106,13785328,13838376,53048,5,3,1,0,0,0,0,2420,1,1
40107,4,2,2,40107,13853205,13928677,75472,8,6,1,0,0,0,0,2420,1,1
40108,4,2,0,40108,13943542,13972766,29224,2,1,0,0,0,0,0,2420,1,1
40109,4,2,3,40109,13987610,14189822,202212,24,17,6,0,0,0,0,2420,1,1
40110,4,2,4,40110,14204672,14233886,29214,2,1,0,0,0,0,0,2420,1,1
40111,4,2,3,40111,14248735,14270487,21752,1,0,0,0,0,0,0,2420,1,1
40112,4,2,3,40112,14285349,14338419,53070,5,3,1,0,0,0,0,2420,1,1
40113,4,2,0,40113,14353289,14439146,85857,9,5,3,0,0,0,0,2420,1,1
40114,4,2,2,40114,14454006,14510007,56001,5,1,3,0,0,0,0,2420,1,1
40115,4,2,4,40115,14524839,14628472,103633,11,5,5,0,0,0,0,2420,1,1
40116,4,2,2,40116,14643336,14697864,54528,5,2,2,0,0,0,0,2420,1,1
40117,4,2,4,40117,14712713,14816379,103666,11,5,5,0,0,0,0,2420,1,1
40118,4,2,0,40118,14831238,14893254,62016,6,3,2,0,0,0,0,2420,1,1
