file,source,source_commit,source_sha256,selection
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_12/attempt_20260911_000711_78ca14ad/raw.serial,measurement-record,ae8259ac724cacf9a5b5338b4b213e464c5ca1da13e55300d3a296b8652763c5,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_13/attempt_20260911_001717_5cf6d4ad/raw.serial,measurement-record,f420648b0012ba0ef738aed13fc4a1830eed392235e5fad767fcfc633235bac3,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_13/attempt_20260911_001717_5cf6d4ad/raw.serial,measurement-record,f420648b0012ba0ef738aed13fc4a1830eed392235e5fad767fcfc633235bac3,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_13/attempt_20260911_001717_5cf6d4ad/raw.serial,measurement-record,f420648b0012ba0ef738aed13fc4a1830eed392235e5fad767fcfc633235bac3,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_13/attempt_20260911_001717_5cf6d4ad/raw.serial,measurement-record,f420648b0012ba0ef738aed13fc4a1830eed392235e5fad767fcfc633235bac3,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_14/attempt_20260911_002722_15144234/raw.serial,measurement-record,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_14/attempt_20260911_002722_15144234/raw.serial,measurement-record,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_14/attempt_20260911_002722_15144234/raw.serial,measurement-record,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_14/attempt_20260911_002722_15144234/raw.serial,measurement-record,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_14/attempt_20260911_002722_15144234/raw.serial,measurement-record,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_15/attempt_20260911_003726_734bdac8/raw.serial,measurement-record,2730fdefe1350db14e798291af73b5622d2731729a23dce33134d79f238ed5dc,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_15/attempt_20260911_003726_734bdac8/raw.serial,measurement-record,2730fdefe1350db14e798291af73b5622d2731729a23dce33134d79f238ed5dc,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_15/attempt_20260911_003726_734bdac8/raw.serial,measurement-record,2730fdefe1350db14e798291af73b5622d2731729a23dce33134d79f238ed5dc,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_15/attempt_20260911_003726_734bdac8/raw.serial,measurement-record,2730fdefe1350db14e798291af73b5622d2731729a23dce33134d79f238ed5dc,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_16/attempt_20260911_004730_465cea14/raw.serial,measurement-record,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_16/attempt_20260911_004730_465cea14/raw.serial,measurement-record,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_16/attempt_20260911_004730_465cea14/raw.serial,measurement-record,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_16/attempt_20260911_004730_465cea14/raw.serial,measurement-record,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_16/attempt_20260911_004730_465cea14/raw.serial,measurement-record,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_17/attempt_20260911_005735_d5df9fa1/raw.serial,measurement-record,283e79a8f7c4e705e7368b743a9980b747941df8f98dc892f265a71fc4ab3b0c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_17/attempt_20260911_005735_d5df9fa1/raw.serial,measurement-record,283e79a8f7c4e705e7368b743a9980b747941df8f98dc892f265a71fc4ab3b0c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_17/attempt_20260911_005735_d5df9fa1/raw.serial,measurement-record,283e79a8f7c4e705e7368b743a9980b747941df8f98dc892f265a71fc4ab3b0c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_17/attempt_20260911_005735_d5df9fa1/raw.serial,measurement-record,283e79a8f7c4e705e7368b743a9980b747941df8f98dc892f265a71fc4ab3b0c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_18/attempt_20260911_010742_923e0c19/raw.serial,measurement-record,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_18/attempt_20260911_010742_923e0c19/raw.serial,measurement-record,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_18/attempt_20260911_010742_923e0c19/raw.serial,measurement-record,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_18/attempt_20260911_010742_923e0c19/raw.serial,measurement-record,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_1/run_18/attempt_20260911_010742_923e0c19/raw.serial,measurement-record,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_00/attempt_20260910_220603_0ef6b30a/raw.serial,measurement-record,620c5b31183b9544c13989500ab213d05278a0518f9f8a68af7ed8fc2e128642,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_00/attempt_20260910_220603_0ef6b30a/raw.serial,measurement-record,620c5b31183b9544c13989500ab213d05278a0518f9f8a68af7ed8fc2e128642,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_00/attempt_20260910_220603_0ef6b30a/raw.serial,measurement-record,620c5b31183b9544c13989500ab213d05278a0518f9f8a68af7ed8fc2e128642,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_01/attempt_20260910_221605_377bd47e/raw.serial,measurement-record,d47705fa8a6679cee3106c3ade353c0b3ea865505e5ab3f1365e162769732839,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_01/attempt_20260910_221605_377bd47e/raw.serial,measurement-record,d47705fa8a6679cee3106c3ade353c0b3ea865505e5ab3f1365e162769732839,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_01/attempt_20260910_221605_377bd47e/raw.serial,measurement-record,d47705fa8a6679cee3106c3ade353c0b3ea865505e5ab3f1365e162769732839,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_01/attempt_20260910_221605_377bd47e/raw.serial,measurement-record,d47705fa8a6679cee3106c3ade353c0b3ea865505e5ab3f1365e162769732839,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_exception.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_02/attempt_20260910_222610_c48ab0b7/raw.serial,measurement-record,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_report.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_02/attempt_20260910_222610_c48ab0b7/raw.serial,measurement-record,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_end.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_02/attempt_20260910_222610_c48ab0b7/raw.serial,measurement-record,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_hist.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_02/attempt_20260910_222610_c48ab0b7/raw.serial,measurement-record,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,CRC-validated JSON records converted to CSV; condition columns added
measurements/telemetry/rp2040_start.csv,recorded-data/rp2040-telemetry/results/telemetry_20260910_220603_bb30cb54/rp2040_2/run_02/attempt_20260910_222610_c48ab0b7/raw.serial,measurement-record,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,CRC-validated JSON records converted to CSV; condition columns added
