platform,level,repetition,sample_size,seed,B_upper_us,C_upper_us,n_baseline,n_early,n_late_band,D821_us
ESP32 deep,44,0,250,204907,21520.0,8949.0,42,28,20,7359700.0
ESP32 deep,44,0,500,204907,21520.0,8951.0,95,50,37,7361340.0
ESP32 deep,44,0,1000,204907,21521.0,8957.0,203,91,74,7366261.0
ESP32 deep,44,0,2000,204907,21521.0,10547.0,432,185,149,8670061.0
ESP32 deep,44,0,5000,204907,21522.0,10556.0,1132,497,378,8677442.0
ESP32 deep,44,0,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,1,250,204907,21520.0,8950.0,59,26,8,7360520.0
ESP32 deep,44,1,500,204907,21520.0,10550.0,116,45,27,8672520.0
ESP32 deep,44,1,1000,204907,21520.0,10550.0,234,114,53,8672520.0
ESP32 deep,44,1,2000,204907,21520.0,10550.0,477,213,119,8672520.0
ESP32 deep,44,1,5000,204907,21521.0,10556.0,1180,528,332,8677441.0
ESP32 deep,44,1,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,2,250,204907,21520.0,8957.0,69,21,22,7366260.0
ESP32 deep,44,2,500,204907,21520.0,8957.0,130,47,39,7366260.0
ESP32 deep,44,2,1000,204907,21520.0,8958.0,243,101,86,7367080.0
ESP32 deep,44,2,2000,204907,21521.0,8958.0,466,216,169,7367081.0
ESP32 deep,44,2,5000,204907,21521.0,8958.0,1193,533,373,7367081.0
ESP32 deep,44,2,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,3,250,204907,21520.0,8951.0,51,28,20,7361340.0
ESP32 deep,44,3,500,204907,21520.0,8951.0,109,55,43,7361340.0
ESP32 deep,44,3,1000,204907,21521.0,8954.0,230,102,73,7363801.0
ESP32 deep,44,3,2000,204907,21521.0,8958.0,467,211,144,7367081.0
ESP32 deep,44,3,5000,204907,21521.0,8958.0,1153,529,374,7367081.0
ESP32 deep,44,3,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,4,250,204907,21520.0,8953.0,67,30,20,7362980.0
ESP32 deep,44,4,500,204907,21520.0,8957.0,119,60,41,7366260.0
ESP32 deep,44,4,1000,204907,21520.0,8957.0,234,112,81,7366260.0
ESP32 deep,44,4,2000,204907,21521.0,10546.0,457,215,155,8669241.0
ESP32 deep,44,4,5000,204907,21521.0,10556.0,1190,533,351,8677441.0
ESP32 deep,44,4,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,5,250,204907,21520.0,8947.0,50,28,19,7358060.0
ESP32 deep,44,5,500,204907,21520.0,8955.0,110,58,36,7364620.0
ESP32 deep,44,5,1000,204907,21520.0,8955.0,212,120,68,7364620.0
ESP32 deep,44,5,2000,204907,21522.0,8958.0,433,240,143,7367082.0
ESP32 deep,44,5,5000,204907,21522.0,10556.0,1143,543,361,8677442.0
ESP32 deep,44,5,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,6,250,204907,21521.0,8957.0,55,28,23,7366261.0
ESP32 deep,44,6,500,204907,21521.0,8957.0,115,50,45,7366261.0
ESP32 deep,44,6,1000,204907,21521.0,8957.0,229,101,88,7366261.0
ESP32 deep,44,6,2000,204907,21521.0,10550.0,464,203,164,8672521.0
ESP32 deep,44,6,5000,204907,21521.0,10551.0,1179,511,385,8673341.0
ESP32 deep,44,6,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,7,250,204907,21520.0,8950.0,69,21,16,7360520.0
ESP32 deep,44,7,500,204907,21520.0,8950.0,116,53,43,7360520.0
ESP32 deep,44,7,1000,204907,21521.0,8958.0,226,106,84,7367081.0
ESP32 deep,44,7,2000,204907,21521.0,8958.0,469,202,154,7367081.0
ESP32 deep,44,7,5000,204907,21521.0,10556.0,1191,518,362,8677441.0
ESP32 deep,44,7,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,8,250,204907,21520.0,10546.0,54,28,22,8669240.0
ESP32 deep,44,8,500,204907,21521.0,10546.0,113,52,37,8669241.0
ESP32 deep,44,8,1000,204907,21521.0,10546.0,220,101,80,8669241.0
ESP32 deep,44,8,2000,204907,21521.0,10547.0,457,187,145,8670061.0
ESP32 deep,44,8,5000,204907,21521.0,10547.0,1180,500,351,8670061.0
ESP32 deep,44,8,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,9,250,204907,21522.0,8947.0,67,22,14,7358062.0
ESP32 deep,44,9,500,204907,21522.0,10546.0,124,42,33,8669242.0
ESP32 deep,44,9,1000,204907,21522.0,10546.0,224,92,62,8669242.0
ESP32 deep,44,9,2000,204907,21522.0,10547.0,460,198,128,8670062.0
ESP32 deep,44,9,5000,204907,21522.0,10556.0,1172,526,345,8677442.0
ESP32 deep,44,9,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,10,250,204907,21520.0,10555.0,55,26,21,8676620.0
ESP32 deep,44,10,500,204907,21520.0,10555.0,116,58,37,8676620.0
ESP32 deep,44,10,1000,204907,21520.0,10555.0,226,120,83,8676620.0
ESP32 deep,44,10,2000,204907,21521.0,10555.0,451,215,156,8676621.0
ESP32 deep,44,10,5000,204907,21521.0,10556.0,1190,524,341,8677441.0
ESP32 deep,44,10,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,11,250,204907,21521.0,8953.0,52,29,19,7362981.0
ESP32 deep,44,11,500,204907,21521.0,8953.0,114,53,41,7362981.0
ESP32 deep,44,11,1000,204907,21521.0,8957.0,229,107,67,7366261.0
ESP32 deep,44,11,2000,204907,21521.0,8958.0,454,194,152,7367081.0
ESP32 deep,44,11,5000,204907,21521.0,10551.0,1178,509,365,8673341.0
ESP32 deep,44,11,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,12,250,204907,21521.0,8952.0,56,29,18,7362161.0
ESP32 deep,44,12,500,204907,21521.0,10546.0,116,59,44,8669241.0
ESP32 deep,44,12,1000,204907,21521.0,10546.0,228,111,83,8669241.0
ESP32 deep,44,12,2000,204907,21521.0,10547.0,486,198,155,8670061.0
ESP32 deep,44,12,5000,204907,21522.0,10551.0,1180,554,365,8673342.0
ESP32 deep,44,12,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,13,250,204907,21520.0,8953.0,55,41,25,7362980.0
ESP32 deep,44,13,500,204907,21520.0,8953.0,112,65,42,7362980.0
ESP32 deep,44,13,1000,204907,21520.0,8955.0,218,128,73,7364620.0
ESP32 deep,44,13,2000,204907,21521.0,10548.0,457,210,151,8670881.0
ESP32 deep,44,13,5000,204907,21522.0,10556.0,1174,532,387,8677442.0
ESP32 deep,44,13,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,14,250,204907,21520.0,8952.0,63,23,12,7362160.0
ESP32 deep,44,14,500,204907,21521.0,8952.0,123,51,27,7362161.0
ESP32 deep,44,14,1000,204907,21521.0,8952.0,241,105,59,7362161.0
ESP32 deep,44,14,2000,204907,21521.0,10548.0,474,227,110,8670881.0
ESP32 deep,44,14,5000,204907,21522.0,10551.0,1172,540,330,8673342.0
ESP32 deep,44,14,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,15,250,204907,21520.0,8947.0,71,24,14,7358060.0
ESP32 deep,44,15,500,204907,21520.0,8948.0,132,60,28,7358880.0
ESP32 deep,44,15,1000,204907,21520.0,8956.0,262,100,71,7365440.0
ESP32 deep,44,15,2000,204907,21521.0,8958.0,501,218,149,7367081.0
ESP32 deep,44,15,5000,204907,21521.0,10548.0,1193,531,354,8670881.0
ESP32 deep,44,15,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,16,250,204907,21520.0,8957.0,58,24,22,7366260.0
ESP32 deep,44,16,500,204907,21521.0,8957.0,106,42,47,7366261.0
ESP32 deep,44,16,1000,204907,21521.0,8958.0,217,93,82,7367081.0
ESP32 deep,44,16,2000,204907,21522.0,10556.0,454,205,144,8677442.0
ESP32 deep,44,16,5000,204907,21522.0,10556.0,1164,511,354,8677442.0
ESP32 deep,44,16,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,17,250,204907,21520.0,8955.0,69,24,21,7364620.0
ESP32 deep,44,17,500,204907,21520.0,8955.0,127,52,31,7364620.0
ESP32 deep,44,17,1000,204907,21522.0,8956.0,252,97,69,7365442.0
ESP32 deep,44,17,2000,204907,21522.0,8958.0,477,223,151,7367082.0
ESP32 deep,44,17,5000,204907,21522.0,10547.0,1136,548,365,8670062.0
ESP32 deep,44,17,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,18,250,204907,21521.0,8948.0,69,24,19,7358881.0
ESP32 deep,44,18,500,204907,21521.0,10546.0,139,47,36,8669241.0
ESP32 deep,44,18,1000,204907,21521.0,10546.0,259,103,79,8669241.0
ESP32 deep,44,18,2000,204907,21521.0,10550.0,496,206,146,8672521.0
ESP32 deep,44,18,5000,204907,21522.0,10550.0,1208,510,361,8672522.0
ESP32 deep,44,18,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,19,250,204907,21520.0,8952.0,56,29,24,7362160.0
ESP32 deep,44,19,500,204907,21520.0,10550.0,116,63,50,8672520.0
ESP32 deep,44,19,1000,204907,21522.0,10551.0,241,115,89,8673342.0
ESP32 deep,44,19,2000,204907,21522.0,10551.0,472,217,171,8673342.0
ESP32 deep,44,19,5000,204907,21522.0,10551.0,1175,546,395,8673342.0
ESP32 deep,44,19,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,20,250,204907,21521.0,8955.0,62,23,15,7364621.0
ESP32 deep,44,20,500,204907,21521.0,8956.0,122,45,31,7365441.0
ESP32 deep,44,20,1000,204907,21521.0,8956.0,231,96,70,7365441.0
ESP32 deep,44,20,2000,204907,21521.0,8957.0,454,224,148,7366261.0
ESP32 deep,44,20,5000,204907,21521.0,10551.0,1185,516,368,8673341.0
ESP32 deep,44,20,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,21,250,204907,21520.0,8950.0,62,27,17,7360520.0
ESP32 deep,44,21,500,204907,21520.0,8957.0,118,51,34,7366260.0
ESP32 deep,44,21,1000,204907,21521.0,10555.0,217,118,75,8676621.0
ESP32 deep,44,21,2000,204907,21521.0,10556.0,456,219,150,8677441.0
ESP32 deep,44,21,5000,204907,21521.0,10556.0,1164,543,351,8677441.0
ESP32 deep,44,21,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,22,250,204907,21520.0,8952.0,73,17,21,7362160.0
ESP32 deep,44,22,500,204907,21521.0,8952.0,125,48,37,7362161.0
ESP32 deep,44,22,1000,204907,21521.0,8953.0,239,114,71,7362981.0
ESP32 deep,44,22,2000,204907,21521.0,10550.0,487,197,132,8672521.0
ESP32 deep,44,22,5000,204907,21521.0,10550.0,1192,512,354,8672521.0
ESP32 deep,44,22,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,23,250,204907,21521.0,8957.0,58,27,21,7366261.0
ESP32 deep,44,23,500,204907,21521.0,8957.0,125,46,43,7366261.0
ESP32 deep,44,23,1000,204907,21521.0,8957.0,240,95,71,7366261.0
ESP32 deep,44,23,2000,204907,21521.0,8958.0,487,192,141,7367081.0
ESP32 deep,44,23,5000,204907,21521.0,10556.0,1184,522,359,8677441.0
ESP32 deep,44,23,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,24,250,204907,21520.0,8950.0,61,32,16,7360520.0
ESP32 deep,44,24,500,204907,21520.0,8955.0,123,54,41,7364620.0
ESP32 deep,44,24,1000,204907,21520.0,8957.0,250,96,76,7366260.0
ESP32 deep,44,24,2000,204907,21520.0,10551.0,475,198,141,8673340.0
ESP32 deep,44,24,5000,204907,21521.0,10551.0,1172,536,363,8673341.0
ESP32 deep,44,24,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,25,250,204907,21520.0,8951.0,52,25,14,7361340.0
ESP32 deep,44,25,500,204907,21521.0,8955.0,114,47,26,7364621.0
ESP32 deep,44,25,1000,204907,21521.0,8957.0,215,112,65,7366261.0
ESP32 deep,44,25,2000,204907,21521.0,10546.0,446,232,149,8669241.0
ESP32 deep,44,25,5000,204907,21521.0,10547.0,1148,552,365,8670061.0
ESP32 deep,44,25,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,26,250,204907,21521.0,8951.0,54,27,10,7361341.0
ESP32 deep,44,26,500,204907,21521.0,8951.0,110,57,24,7361341.0
ESP32 deep,44,26,1000,204907,21521.0,8955.0,206,127,66,7364621.0
ESP32 deep,44,26,2000,204907,21521.0,8956.0,424,232,134,7365441.0
ESP32 deep,44,26,5000,204907,21521.0,10551.0,1160,538,373,8673341.0
ESP32 deep,44,26,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,27,250,204907,21520.0,8953.0,52,30,15,7362980.0
ESP32 deep,44,27,500,204907,21520.0,8953.0,103,51,37,7362980.0
ESP32 deep,44,27,1000,204907,21520.0,8956.0,221,100,69,7365440.0
ESP32 deep,44,27,2000,204907,21521.0,10547.0,465,216,134,8670061.0
ESP32 deep,44,27,5000,204907,21521.0,10556.0,1164,512,361,8677441.0
ESP32 deep,44,27,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,28,250,204907,21520.0,8950.0,62,20,18,7360520.0
ESP32 deep,44,28,500,204907,21520.0,8953.0,122,39,34,7362980.0
ESP32 deep,44,28,1000,204907,21521.0,8953.0,208,102,73,7362981.0
ESP32 deep,44,28,2000,204907,21521.0,10548.0,448,204,151,8670881.0
ESP32 deep,44,28,5000,204907,21521.0,10548.0,1121,522,351,8670881.0
ESP32 deep,44,28,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,29,250,204907,21520.0,8950.0,57,21,15,7360520.0
ESP32 deep,44,29,500,204907,21521.0,8953.0,123,37,29,7362981.0
ESP32 deep,44,29,1000,204907,21521.0,8954.0,226,104,62,7363801.0
ESP32 deep,44,29,2000,204907,21521.0,8958.0,440,214,150,7367081.0
ESP32 deep,44,29,5000,204907,21521.0,8958.0,1154,533,380,7367081.0
ESP32 deep,44,29,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,30,250,204907,21521.0,8956.0,51,24,13,7365441.0
ESP32 deep,44,30,500,204907,21521.0,10546.0,116,54,26,8669241.0
ESP32 deep,44,30,1000,204907,21521.0,10546.0,233,104,68,8669241.0
ESP32 deep,44,30,2000,204907,21521.0,10555.0,475,191,139,8676621.0
ESP32 deep,44,30,5000,204907,21521.0,10556.0,1202,535,348,8677441.0
ESP32 deep,44,30,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,31,250,204907,21522.0,8952.0,63,31,16,7362162.0
ESP32 deep,44,31,500,204907,21522.0,8952.0,116,54,32,7362162.0
ESP32 deep,44,31,1000,204907,21522.0,8955.0,231,105,73,7364622.0
ESP32 deep,44,31,2000,204907,21522.0,10546.0,446,221,150,8669242.0
ESP32 deep,44,31,5000,204907,21522.0,10555.0,1129,534,405,8676622.0
ESP32 deep,44,31,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,32,250,204907,21520.0,8952.0,55,31,15,7362160.0
ESP32 deep,44,32,500,204907,21520.0,10555.0,118,57,38,8676620.0
ESP32 deep,44,32,1000,204907,21520.0,10555.0,221,115,79,8676620.0
ESP32 deep,44,32,2000,204907,21522.0,10555.0,450,225,145,8676622.0
ESP32 deep,44,32,5000,204907,21522.0,10556.0,1169,526,346,8677442.0
ESP32 deep,44,32,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,33,250,204907,21520.0,8953.0,61,35,15,7362980.0
ESP32 deep,44,33,500,204907,21520.0,8953.0,121,64,30,7362980.0
ESP32 deep,44,33,1000,204907,21521.0,8956.0,240,121,68,7365441.0
ESP32 deep,44,33,2000,204907,21521.0,8956.0,465,230,135,7365441.0
ESP32 deep,44,33,5000,204907,21522.0,10551.0,1196,527,365,8673342.0
ESP32 deep,44,33,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,34,250,204907,21521.0,8954.0,68,25,18,7363801.0
ESP32 deep,44,34,500,204907,21521.0,8957.0,127,48,38,7366261.0
ESP32 deep,44,34,1000,204907,21521.0,10547.0,251,111,65,8670061.0
ESP32 deep,44,34,2000,204907,21521.0,10547.0,477,203,129,8670061.0
ESP32 deep,44,34,5000,204907,21522.0,10555.0,1175,523,373,8676622.0
ESP32 deep,44,34,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,35,250,204907,21520.0,8953.0,65,29,18,7362980.0
ESP32 deep,44,35,500,204907,21520.0,8953.0,130,57,43,7362980.0
ESP32 deep,44,35,1000,204907,21520.0,8956.0,238,104,71,7365440.0
ESP32 deep,44,35,2000,204907,21520.0,8958.0,487,219,135,7367080.0
ESP32 deep,44,35,5000,204907,21522.0,10551.0,1172,541,358,8673342.0
ESP32 deep,44,35,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,36,250,204907,21520.0,10546.0,60,21,22,8669240.0
ESP32 deep,44,36,500,204907,21520.0,10546.0,102,45,46,8669240.0
ESP32 deep,44,36,1000,204907,21520.0,10546.0,207,94,74,8669240.0
ESP32 deep,44,36,2000,204907,21521.0,10546.0,454,205,146,8669241.0
ESP32 deep,44,36,5000,204907,21522.0,10548.0,1161,527,374,8670882.0
ESP32 deep,44,36,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,37,250,204907,21520.0,8951.0,59,27,14,7361340.0
ESP32 deep,44,37,500,204907,21520.0,8951.0,104,48,37,7361340.0
ESP32 deep,44,37,1000,204907,21522.0,8958.0,226,96,70,7367082.0
ESP32 deep,44,37,2000,204907,21522.0,8958.0,457,198,145,7367082.0
ESP32 deep,44,37,5000,204907,21522.0,10551.0,1173,519,365,8673342.0
ESP32 deep,44,37,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,38,250,204907,21521.0,8955.0,57,30,18,7364621.0
ESP32 deep,44,38,500,204907,21521.0,8957.0,109,56,43,7366261.0
ESP32 deep,44,38,1000,204907,21521.0,8958.0,225,106,77,7367081.0
ESP32 deep,44,38,2000,204907,21521.0,8958.0,461,207,148,7367081.0
ESP32 deep,44,38,5000,204907,21522.0,10547.0,1166,533,352,8670062.0
ESP32 deep,44,38,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,39,250,204907,21520.0,8953.0,59,28,17,7362980.0
ESP32 deep,44,39,500,204907,21520.0,8955.0,115,49,38,7364620.0
ESP32 deep,44,39,1000,204907,21520.0,10547.0,239,85,75,8670060.0
ESP32 deep,44,39,2000,204907,21522.0,10551.0,480,186,146,8673342.0
ESP32 deep,44,39,5000,204907,21522.0,10551.0,1155,508,377,8673342.0
ESP32 deep,44,39,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,40,250,204907,21520.0,8955.0,50,18,24,7364620.0
ESP32 deep,44,40,500,204907,21520.0,8955.0,99,51,42,7364620.0
ESP32 deep,44,40,1000,204907,21521.0,8956.0,225,90,70,7365441.0
ESP32 deep,44,40,2000,204907,21521.0,10548.0,446,209,139,8670881.0
ESP32 deep,44,40,5000,204907,21521.0,10556.0,1186,516,334,8677441.0
ESP32 deep,44,40,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,41,250,204907,21520.0,8950.0,80,24,18,7360520.0
ESP32 deep,44,41,500,204907,21520.0,8955.0,145,49,33,7364620.0
ESP32 deep,44,41,1000,204907,21521.0,8956.0,265,117,61,7365441.0
ESP32 deep,44,41,2000,204907,21521.0,8956.0,499,220,128,7365441.0
ESP32 deep,44,41,5000,204907,21521.0,10547.0,1191,534,378,8670061.0
ESP32 deep,44,41,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,42,250,204907,21519.0,8951.0,55,31,22,7361339.0
ESP32 deep,44,42,500,204907,21520.0,8951.0,112,64,43,7361340.0
ESP32 deep,44,42,1000,204907,21520.0,10555.0,230,107,77,8676620.0
ESP32 deep,44,42,2000,204907,21522.0,10555.0,470,206,145,8676622.0
ESP32 deep,44,42,5000,204907,21522.0,10556.0,1187,520,363,8677442.0
ESP32 deep,44,42,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,43,250,204907,21520.0,8947.0,67,21,18,7358060.0
ESP32 deep,44,43,500,204907,21520.0,8955.0,131,52,31,7364620.0
ESP32 deep,44,43,1000,204907,21520.0,8955.0,244,104,68,7364620.0
ESP32 deep,44,43,2000,204907,21521.0,8956.0,467,218,132,7365441.0
ESP32 deep,44,43,5000,204907,21522.0,8958.0,1196,542,342,7367082.0
ESP32 deep,44,43,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,44,250,204907,21520.0,8953.0,64,23,13,7362980.0
ESP32 deep,44,44,500,204907,21520.0,10547.0,114,46,36,8670060.0
ESP32 deep,44,44,1000,204907,21521.0,10547.0,228,88,75,8670061.0
ESP32 deep,44,44,2000,204907,21521.0,10547.0,455,191,146,8670061.0
ESP32 deep,44,44,5000,204907,21522.0,10551.0,1154,529,357,8673342.0
ESP32 deep,44,44,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,45,250,204907,21520.0,8955.0,44,26,15,7364620.0
ESP32 deep,44,45,500,204907,21520.0,10547.0,108,51,37,8670060.0
ESP32 deep,44,45,1000,204907,21521.0,10547.0,225,108,75,8670061.0
ESP32 deep,44,45,2000,204907,21521.0,10547.0,456,198,150,8670061.0
ESP32 deep,44,45,5000,204907,21521.0,10556.0,1169,511,372,8677441.0
ESP32 deep,44,45,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,46,250,204907,21520.0,8947.0,72,27,16,7358060.0
ESP32 deep,44,46,500,204907,21521.0,10546.0,133,61,35,8669241.0
ESP32 deep,44,46,1000,204907,21521.0,10547.0,247,119,71,8670061.0
ESP32 deep,44,46,2000,204907,21521.0,10547.0,462,226,132,8670061.0
ESP32 deep,44,46,5000,204907,21521.0,10556.0,1191,538,343,8677441.0
ESP32 deep,44,46,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,47,250,204907,21520.0,8946.0,60,27,11,7357240.0
ESP32 deep,44,47,500,204907,21520.0,8955.0,107,56,29,7364620.0
ESP32 deep,44,47,1000,204907,21520.0,8957.0,228,103,73,7366260.0
ESP32 deep,44,47,2000,204907,21520.0,10551.0,457,221,153,8673340.0
ESP32 deep,44,47,5000,204907,21521.0,10551.0,1161,543,377,8673341.0
ESP32 deep,44,47,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,48,250,204907,21520.0,8948.0,67,25,14,7358880.0
ESP32 deep,44,48,500,204907,21520.0,8952.0,119,49,33,7362160.0
ESP32 deep,44,48,1000,204907,21521.0,8955.0,234,103,65,7364621.0
ESP32 deep,44,48,2000,204907,21521.0,10551.0,454,210,146,8673341.0
ESP32 deep,44,48,5000,204907,21522.0,10556.0,1145,531,369,8677442.0
ESP32 deep,44,48,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,49,250,204907,21520.0,8953.0,51,28,26,7362980.0
ESP32 deep,44,49,500,204907,21520.0,8953.0,101,55,41,7362980.0
ESP32 deep,44,49,1000,204907,21521.0,8956.0,212,112,84,7365441.0
ESP32 deep,44,49,2000,204907,21521.0,10555.0,448,194,150,8676621.0
ESP32 deep,44,49,5000,204907,21521.0,10556.0,1174,513,368,8677441.0
ESP32 deep,44,49,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,50,250,204907,21520.0,8954.0,57,20,22,7363800.0
ESP32 deep,44,50,500,204907,21520.0,8958.0,102,46,45,7367080.0
ESP32 deep,44,50,1000,204907,21521.0,8958.0,229,89,75,7367081.0
ESP32 deep,44,50,2000,204907,21521.0,8958.0,466,180,160,7367081.0
ESP32 deep,44,50,5000,204907,21521.0,10548.0,1204,480,373,8670881.0
ESP32 deep,44,50,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,51,250,204907,21520.0,10547.0,52,26,25,8670060.0
ESP32 deep,44,51,500,204907,21521.0,10547.0,107,54,47,8670061.0
ESP32 deep,44,51,1000,204907,21521.0,10547.0,247,96,80,8670061.0
ESP32 deep,44,51,2000,204907,21521.0,10547.0,483,211,147,8670061.0
ESP32 deep,44,51,5000,204907,21522.0,10551.0,1181,516,351,8673342.0
ESP32 deep,44,51,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,52,250,204907,21520.0,8952.0,59,29,19,7362160.0
ESP32 deep,44,52,500,204907,21520.0,8958.0,114,52,38,7367080.0
ESP32 deep,44,52,1000,204907,21520.0,8958.0,219,114,70,7367080.0
ESP32 deep,44,52,2000,204907,21521.0,8958.0,451,221,146,7367081.0
ESP32 deep,44,52,5000,204907,21521.0,10556.0,1171,525,342,8677441.0
ESP32 deep,44,52,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,53,250,204907,21520.0,8950.0,53,20,21,7360520.0
ESP32 deep,44,53,500,204907,21520.0,8950.0,105,44,45,7360520.0
ESP32 deep,44,53,1000,204907,21520.0,10546.0,238,96,83,8669240.0
ESP32 deep,44,53,2000,204907,21520.0,10546.0,493,202,160,8669240.0
ESP32 deep,44,53,5000,204907,21521.0,10556.0,1137,524,381,8677441.0
ESP32 deep,44,53,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,54,250,204907,21520.0,10550.0,54,19,19,8672520.0
ESP32 deep,44,54,500,204907,21520.0,10550.0,115,45,37,8672520.0
ESP32 deep,44,54,1000,204907,21521.0,10550.0,246,94,68,8672521.0
ESP32 deep,44,54,2000,204907,21521.0,10550.0,483,191,147,8672521.0
ESP32 deep,44,54,5000,204907,21521.0,10556.0,1149,536,373,8677441.0
ESP32 deep,44,54,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,55,250,204907,21520.0,8958.0,72,29,23,7367080.0
ESP32 deep,44,55,500,204907,21520.0,8958.0,135,54,42,7367080.0
ESP32 deep,44,55,1000,204907,21520.0,8958.0,252,104,71,7367080.0
ESP32 deep,44,55,2000,204907,21521.0,8958.0,455,210,160,7367081.0
ESP32 deep,44,55,5000,204907,21521.0,10556.0,1181,515,348,8677441.0
ESP32 deep,44,55,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,56,250,204907,21520.0,8957.0,62,27,23,7366260.0
ESP32 deep,44,56,500,204907,21520.0,8957.0,130,46,38,7366260.0
ESP32 deep,44,56,1000,204907,21521.0,8958.0,260,104,70,7367081.0
ESP32 deep,44,56,2000,204907,21521.0,8958.0,500,211,139,7367081.0
ESP32 deep,44,56,5000,204907,21522.0,10547.0,1224,503,358,8670062.0
ESP32 deep,44,56,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,57,250,204907,21520.0,8955.0,55,35,21,7364620.0
ESP32 deep,44,57,500,204907,21521.0,8957.0,108,60,37,7366261.0
ESP32 deep,44,57,1000,204907,21521.0,8957.0,220,107,80,7366261.0
ESP32 deep,44,57,2000,204907,21521.0,8958.0,454,216,151,7367081.0
ESP32 deep,44,57,5000,204907,21522.0,10556.0,1170,562,357,8677442.0
