reference,mean_iterations,p,q,tail_at_95,tail_ratio_to_published_2024_at_95,tail_at_96,tail_ratio_to_errata_at_96,n_1e-03,n_1e-06,n_1e-09
FIPS 204 published August 2024,5.1,0.19607843137254904,0.803921568627451,9.892354222832878e-10,1.0,7.952676924238196e-10,0.8335660452684447,32,64,95
NIST potential updates July 2026,5.14,0.19455252918287938,0.8054474708171206,1.1845028279898911e-09,1.1973922499215695,9.540548069801848e-10,1.0,32,64,96
RP2040 unit 1 ML-DSA-65 measured mean,5.12962,0.19494621433946374,0.8050537856605362,1.1307462946291559e-09,1.1430507532971628,9.103115851128259e-10,0.9541502002324019,32,64,96
RP2040 unit 2 ML-DSA-65 measured mean,5.15102,0.1941363069838595,0.8058636930161405,1.2440877786999478e-09,1.2576255870704915,1.0025651717793869e-09,1.0508465178774633,33,65,97
RP2040 pooled ML-DSA-65 measured mean,5.14032,0.19454041771718492,0.8054595822828151,1.1861960977589387e-09,1.1991039453692884,9.554330134064202e-10,1.0014445778336316,32,64,96
x86 ML-DSA-65 measured mean,5.1813,0.19300175631598246,0.8069982436840175,1.421988246155048e-09,1.4374619166718663,1.1475420171864401e-09,1.2028051311000525,33,65,97
x86 ML-DSA-65 upper mean CI,5.272166199472138,0.18967535585280343,0.8103246441471965,2.101887565811138e-09,2.124759706804363,1.7032112938033276e-09,1.7852342248496322,33,66,99
