platform,campaign,level,bin_us,kernel_sigma_bins,upper_quantile,assignment_hash,assignments_identical,B_us,B_deviation_pct,Rz_us,Rz_deviation_pct,Rlate_us,Rlate_deviation_pct
ESP32 deep,deep,44,12,1.5,0.8,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,12,1.5,0.85,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
RP2040 deep,deep,44,40,0.9,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,0.9,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,0.9,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.2,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.2,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.2,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.5,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.5,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,40,1.5,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,0.9,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,0.9,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,0.9,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.2,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.2,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.2,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.5,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.5,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,50,1.5,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,0.9,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,0.9,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,0.9,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.2,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.2,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.2,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.5,0.75,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.5,0.8,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 deep,deep,44,60,1.5,0.85,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,True,80184.86743393009,0.0,28808.808712858896,0.0,34922.60373343981,0.0
RP2040 unit 1,inter-unit,44,40,0.9,0.75,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,0.9,0.8,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
RP2040 unit 1,inter-unit,44,40,0.9,0.85,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,True,68793.95901639345,0.0,25024.00906871294,0.0,30314.96745419479,0.0
