platform,campaign,level,n,compiler,optimization,source,B_us,B_lo_us,B_hi_us,Rz_us,Rz_lo_us,Rz_hi_us,Rlate_us,Rlate_lo_us,Rlate_hi_us,pi_z,ratio,n_baseline,n_z,n_late,n_late_band,n_upper,assignment_hash,B_obs_upper_us,C_obs_upper_us,observed_max_us,peak0_us,peak1_us,peak2_us,peak3_us
ESP32 deep,deep,44,10000,ESP-IDF toolchain,-Os,pqc-wsn-bench-release/results/raw/esp32_full.csv,21514.140538231524,21514.03587142247,21514.246091413926,7476.673503514205,7476.016298501183,7477.358551919134,8929.929391838406,8929.136190215168,8930.787948653227,0.5958168456755228,1.1943719874408236,2341,1054,715,720,5,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,21522.0,10556.0,340714.0,21515.0,28995.0,30445.0,36465.0
RP2040 deep,deep,44,10000,GCC 12.2.1,-Os,pqc-wsn-bench-release/results/raw/pico_full.csv,80184.86743393009,80183.65428388747,80186.11862745098,28808.808712858896,28805.99721186561,28811.67445173124,34922.60373343981,34919.40780887479,34925.892147285434,0.6052193225985564,1.212219640232885,2346,1090,711,715,4,7f15871b88fc1e9072b3016fdecf52201512d73cbd5b2a38e4c9b944f21136d0,80284.0,41564.0,1156792.0,80192.0,108992.0,115092.0,137792.0
RP2040 unit 1,inter-unit,44,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board1/mldsa.csv,68793.95901639345,68792.11045081967,68795.64764344263,25024.00906871294,25017.35553278689,25031.633113882108,30314.96745419479,30307.990555689485,30322.382352941175,0.5802469135802469,1.2114352808518214,244,94,68,69,1,dc85fbbf368451d47405c33e8e64cacdbe18e82e54e584e2ac3cfe47166e5cb6,68856.0,36000.0,721798.0,68784.0,93834.0,99084.0,118834.0
RP2040 unit 2,inter-unit,44,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board2/mldsa.csv,68793.93697478992,68792.07521008403,68795.70178571428,25023.785797487304,25017.31379586489,25030.278615109408,30320.628242601393,30313.2328918524,30328.182844659605,0.5941176470588235,1.2116723060203767,238,101,69,70,1,f89134392a120b34ddf4c7255b9a0491036740c6c91e3f3bf3489b5935974bee,68842.0,35966.0,662780.0,68773.0,93823.0,99123.0,118823.0
RP2040 unit 1,inter-unit,65,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board1/mldsa.csv,105465.85514018692,105463.9953271028,105467.5046728972,33696.57343124166,33684.85795644193,33708.231542056055,41611.77581219403,41603.349766355124,41621.22029928793,0.4,1.234896358144648,214,56,84,84,0,6bcf59fe5f07ad88021976bbdcd4e73227fda9a753536a363faf6b72a178ee5b,105503.0,41746.0,1310201.0,105461.0,139161.0,147061.0,172811.0
RP2040 unit 2,inter-unit,65,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board2/mldsa.csv,105464.8956043956,105462.96126373626,105466.93434065934,33691.31027795735,33681.69290562378,33701.53716871364,41606.74913244651,41597.54493204165,41616.42476503759,0.4722222222222222,1.2349400717628918,182,68,76,76,0,06f7a41892da56b74da138c05265e3256856a804061cf4882a2fccc3de1d5098,105498.0,41742.0,1266245.0,105461.0,139161.0,147061.0,172861.0
RP2040 unit 1,inter-unit,87,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board1/mldsa.csv,165298.332,165296.7118,165299.83620000002,48876.10329411764,48865.46717058823,48886.63417058823,59430.21345454545,59420.65791818182,59440.77554545453,0.4358974358974359,1.215935998353167,250,85,110,111,1,98cd6f61793d9d1864031a9323ee90fd4112e49d79e6eddd4caa0ffcc4d4ec9c,165335.0,70672.0,1404696.0,165280.0,214180.0,224730.0,263080.0
RP2040 unit 2,inter-unit,87,1000,GCC 15.2.1,-O3,pqc-cortex-m0-benchmark/results/campaign_c/board2/mldsa.csv,165296.85820895524,165295.3843283582,165298.23880597015,48867.84705420266,48857.52176158681,48878.02422329145,59439.24705420266,59428.10264728986,59450.29209053418,0.5,1.216326288904738,268,95,95,95,0,d185375a5f4286e7e05dea9b82bffdcac090f8238b2cb806122adf1550f4fea5,165329.0,59588.0,1447286.0,165294.0,214144.0,224744.0,263044.0
