board,set,row_index,key,boot,residual_us,calibration_upper_us
esp32_1,44,47000,9,4,562.614558680667,543.9002798218935
rp2040_1,65,11861,8,1,546.8367262290558,501.31752818252426
rp2040_1,87,36020,8,3,792.5908111545723,722.0426600850187
rp2040_1,87,40035,2,4,730.3590480659623,722.0426600850187
rp2040_2,87,41029,6,4,653.197674407973,617.9451938413549
