invocation,candidate,exit,duration_us
67,8,w0,8917
67,9,z,7474
67,10,w0,8901
67,11,w0,8910
67,12,w0,8913
67,13,accept,10540
68,1,w0,8977
68,2,accept,10540
69,1,w0,8976
69,2,w0,8925
69,3,z,7475
69,4,w0,8926
69,5,z,7452
69,6,z,7460
69,7,accept,10540
70,1,z,7509
70,2,w0,8938
70,3,z,7461
70,4,accept,10541
71,1,z,7512
71,2,z,7450
71,3,accept,10548
72,1,accept,10607
73,1,z,7519
73,2,w0,8935
73,3,z,7484
73,4,z,7460
73,5,z,7458
73,6,z,7470
73,7,z,7449
73,8,z,7457
73,9,z,7459
73,10,accept,10540
74,1,z,7510
74,2,w0,8948
74,3,w0,8906
74,4,z,7450
74,5,accept,10540
75,1,z,7551
75,2,w0,8909
75,3,z,7485
75,4,accept,10540
76,1,accept,10615
77,1,w0,8974
77,2,z,7459
77,3,w0,8938
77,4,z,7458
77,5,w0,8905
77,6,accept,10539
78,1,w0,8966
78,2,z,7484
78,3,accept,10541
79,1,accept,10604
80,1,z,7512
80,2,z,7458
80,3,z,7463
80,4,z,7451
80,5,accept,10548
81,1,z,7538
81,2,z,7450
81,3,w0,8932
81,4,accept,10540
82,1,z,7524
82,2,z,7472
82,3,accept,10548
83,1,z,7525
83,2,w0,8939
83,3,w0,8941
83,4,w0,8909
83,5,w0,8905
83,6,accept,10540
84,1,w0,8984
84,2,z,7458
84,3,w0,8922
84,4,accept,10540
85,1,accept,10603
86,1,accept,10604
87,1,z,7509
87,2,accept,10552
88,1,accept,10603
89,1,w0,8973
89,2,z,7462
89,3,w0,8912
89,4,w0,8931
89,5,w0,8919
89,6,z,7466
89,7,z,7465
89,8,accept,10540
90,1,z,7511
90,2,w0,8935
90,3,z,7470
90,4,w0,8905
90,5,z,7467
90,6,w0,8904
90,7,w0,8937
90,8,z,7476
90,9,z,7470
90,10,accept,10540
91,1,z,7530
91,2,w0,8919
91,3,accept,10540
92,1,z,7542
92,2,accept,10548
93,1,w0,8971
