set,k,l,beta,gamma1,gamma2,signatures,candidates,hint_rejections,hint_fraction_post_norm,norm_only_empirical_mean,simplified_norm_mean,simplified_with_hints,required_hint_rate_simplified,finite_width_norm_mean,finite_width_with_hints,measured_mean,finite_width_residual,residual_cluster_se,residual_cluster_ci_lo,residual_cluster_ci_hi
44,4,4,78,131072,95232,150000,654582,2544,0.01667715544367527,4.291102894902455,4.257191744398945,4.329393716383951,0.023579875137856754,4.29692253415022,4.3697983403294085,4.36388,-0.005918340329408522,0.008881814656993633,-0.02601040097437219,0.01417372031555627
65,6,5,196,524288,261888,100000,514032,448,0.004460019114367633,5.117394074546033,5.096711845372679,5.1195451144399495,0.008421819966404676,5.117937400118811,5.140865759671343,5.14032,-0.0005457596713434043,0.0143556730417592,-0.0330205482695486,0.031929028926860725
87,8,7,120,524288,261888,100000,391716,821,0.008143144781345157,3.885261998988306,3.8529330146136016,3.884565594663579,0.014595136927467611,3.874652267246723,3.9064631623608186,3.91716,0.010696837639181389,0.00791721910434779,-0.007213156267162129,0.028606831545524153
