board,set,key,boot,n,mean_K,p_K1,mean_ms
rp2040_1,44,8,4,1000,4.299,0.25,162.518775
rp2040_1,44,9,0,1000,4.465,0.239,167.18279800000002
rp2040_1,44,9,1,1000,4.195,0.236,159.740238
rp2040_1,44,9,2,1000,4.294,0.235,162.62677
rp2040_1,44,9,3,1000,4.311,0.235,162.768864
rp2040_1,44,9,4,1000,4.45,0.242,167.044725
rp2040_2,44,0,0,1000,4.462,0.201,167.356358
rp2040_2,44,0,1,1000,4.234,0.231,161.070012
rp2040_2,44,0,2,1000,4.264,0.231,161.691968
rp2040_2,44,0,3,1000,4.538,0.228,169.526282
rp2040_2,44,0,4,1000,4.244,0.21,161.1446
rp2040_2,44,1,0,1000,4.456,0.214,167.165531
rp2040_2,44,1,1,1000,4.371,0.222,164.498256
rp2040_2,44,1,2,1000,4.304,0.231,162.973131
rp2040_2,44,1,3,1000,4.173,0.248,159.11173499999998
rp2040_2,44,1,4,1000,4.434,0.243,166.76825
rp2040_2,44,2,0,1000,4.474,0.207,167.634668
rp2040_2,44,2,1,1000,4.273,0.23,162.012481
rp2040_2,44,2,2,1000,4.244,0.235,160.82215599999998
rp2040_2,44,2,3,1000,4.402,0.233,165.53173800000002
rp2040_2,44,2,4,1000,4.232,0.228,160.81893
rp2040_2,44,3,0,1000,4.479,0.229,167.71865100000002
rp2040_2,44,3,1,1000,4.594,0.22,171.10077900000002
rp2040_2,44,3,2,1000,4.118,0.24,157.61636
rp2040_2,44,3,3,1000,4.201,0.242,160.245842
rp2040_2,44,3,4,1000,4.237,0.257,160.867366
rp2040_2,44,4,0,1000,4.411,0.22,165.884376
rp2040_2,44,4,1,1000,4.104,0.216,157.173791
rp2040_2,44,4,2,1000,4.418,0.222,165.9774
rp2040_2,44,4,3,1000,4.114,0.237,157.446075
rp2040_2,44,4,4,1000,4.451,0.225,166.746797
rp2040_2,44,5,0,1000,4.306,0.241,163.17384099999998
rp2040_2,44,5,1,1000,4.297,0.221,162.67003
rp2040_2,44,5,2,1000,4.353,0.205,164.09556700000002
rp2040_2,44,5,3,1000,4.44,0.227,166.937728
rp2040_2,44,5,4,1000,4.421,0.218,166.00985999999997
rp2040_2,44,6,0,1000,4.387,0.233,165.352142
rp2040_2,44,6,1,1000,4.279,0.225,162.196021
rp2040_2,44,6,2,1000,4.407,0.227,165.583778
rp2040_2,44,6,3,1000,4.458,0.233,166.951729
rp2040_2,44,6,4,1000,4.232,0.237,160.83070999999998
rp2040_2,44,7,0,1000,4.441,0.226,166.850137
rp2040_2,44,7,1,1000,4.209,0.258,160.15846599999998
rp2040_2,44,7,2,1000,4.526,0.246,168.94531400000002
rp2040_2,44,7,3,1000,4.403,0.203,165.779162
rp2040_2,44,7,4,1000,4.323,0.241,163.230343
rp2040_2,44,8,0,1000,4.491,0.225,168.02751800000001
rp2040_2,44,8,1,1000,4.547,0.209,169.473517
rp2040_2,44,8,2,1000,4.364,0.231,164.30897700000003
rp2040_2,44,8,3,1000,4.073,0.259,156.314044
rp2040_2,44,8,4,1000,4.358,0.232,164.220052
rp2040_2,44,9,0,1000,4.229,0.223,160.651926
rp2040_2,44,9,1,1000,4.283,0.237,162.05687899999998
rp2040_2,44,9,2,1000,4.238,0.242,160.772008
rp2040_2,44,9,3,1000,4.353,0.227,164.073047
rp2040_2,44,9,4,1000,4.336,0.226,163.690674
rp2040_1,65,0,0,1000,4.894,0.211,258.775645
rp2040_1,65,0,1,1000,5.312,0.205,275.005092
rp2040_1,65,0,2,1000,5.051,0.2,264.83563
rp2040_1,65,0,3,1000,5.09,0.204,266.314077
rp2040_1,65,0,4,1000,5.353,0.19,276.705439
rp2040_1,65,1,0,1000,5.327,0.197,275.400438
rp2040_1,65,1,1,1000,4.979,0.197,262.504118
rp2040_1,65,1,2,1000,5.054,0.169,265.230064
rp2040_1,65,1,3,1000,5.132,0.192,267.983833
rp2040_1,65,1,4,1000,5.068,0.191,265.85244
rp2040_1,65,2,0,1000,5.363,0.194,277.287599
rp2040_1,65,2,1,1000,4.989,0.208,262.319586
rp2040_1,65,2,2,1000,5.126,0.198,268.028118
rp2040_1,65,2,3,1000,5.026,0.197,264.24847600000004
rp2040_1,65,2,4,1000,5.032,0.196,264.95162
rp2040_1,65,3,0,1000,5.289,0.178,274.591567
rp2040_1,65,3,1,1000,5.176,0.2,269.543543
rp2040_1,65,3,2,1000,5.177,0.183,270.001127
rp2040_1,65,3,3,1000,5.196,0.209,270.590476
rp2040_1,65,3,4,1000,5.067,0.203,265.28761
rp2040_1,65,4,0,1000,5.206,0.186,271.044079
rp2040_1,65,4,1,1000,5.164,0.2,269.764638
rp2040_1,65,4,2,1000,5.065,0.201,265.477661
rp2040_1,65,4,3,1000,5.252,0.196,272.889108
rp2040_1,65,4,4,1000,5.242,0.189,272.823805
rp2040_1,65,5,0,1000,5.244,0.188,272.535324
rp2040_1,65,5,1,1000,5.116,0.185,268.06683899999996
rp2040_1,65,5,2,1000,4.847,0.192,256.72745000000003
rp2040_1,65,5,3,1000,4.983,0.198,262.208047
rp2040_1,65,5,4,1000,5.059,0.199,265.454478
rp2040_1,65,6,0,1000,5.055,0.202,265.384353
rp2040_1,65,6,1,1000,5.268,0.196,272.97466
rp2040_1,65,6,2,1000,5.119,0.185,267.230618
rp2040_1,65,6,3,1000,4.93,0.205,260.147539
rp2040_1,65,6,4,1000,5.203,0.18,271.458933
rp2040_1,65,7,0,1000,5.01,0.198,263.51280099999997
rp2040_1,65,7,1,1000,5.198,0.203,270.94883600000003
rp2040_1,65,7,2,1000,5.016,0.228,263.74796100000003
rp2040_1,65,7,3,1000,4.983,0.192,262.27007199999997
rp2040_1,65,7,4,1000,5.462,0.17,280.45547
rp2040_1,65,8,0,1000,5.157,0.196,269.141098
rp2040_1,65,8,1,1000,4.804,0.199,255.596704
rp2040_1,65,8,2,1000,5.125,0.209,267.948562
rp2040_1,65,8,3,1000,5.19,0.2,270.163664
rp2040_1,65,8,4,1000,5.549,0.176,284.219308
rp2040_1,65,9,0,1000,4.944,0.215,261.111336
rp2040_1,65,9,1,1000,5.175,0.204,269.54963799999996
rp2040_1,65,9,2,1000,5.201,0.189,270.783772
rp2040_1,65,9,3,1000,5.21,0.204,270.822057
rp2040_1,65,9,4,1000,5.003,0.194,262.892468
rp2040_2,65,0,0,1000,5.294,0.188,274.47749200000004
rp2040_2,65,0,1,1000,5.241,0.195,272.12516600000004
rp2040_2,65,0,2,1000,5.141,0.214,268.72096600000003
rp2040_2,65,0,3,1000,5.2,0.195,271.000155
rp2040_2,65,0,4,1000,5.407,0.199,278.764441
rp2040_2,65,1,0,1000,4.921,0.204,260.051201
rp2040_2,65,1,1,1000,5.251,0.167,272.35790000000003
rp2040_2,65,1,2,1000,5.033,0.211,264.773112
rp2040_2,65,1,3,1000,5.234,0.168,271.478749
rp2040_2,65,1,4,1000,5.197,0.185,270.931645
rp2040_2,65,2,0,1000,5.31,0.186,274.898219
rp2040_2,65,2,1,1000,5.097,0.191,266.6673
rp2040_2,65,2,2,1000,5.187,0.184,270.029799
rp2040_2,65,2,3,1000,5.316,0.172,274.81975900000003
rp2040_2,65,2,4,1000,5.282,0.175,273.895064
rp2040_2,65,3,0,1000,4.928,0.223,260.524815
rp2040_2,65,3,1,1000,5.293,0.184,274.12075
rp2040_2,65,3,2,1000,5.297,0.192,273.96361099999996
rp2040_2,65,3,3,1000,5.352,0.197,276.501575
rp2040_2,65,3,4,1000,5.225,0.185,271.729188
rp2040_2,65,4,0,1000,5.088,0.198,266.661465
rp2040_2,65,4,1,1000,4.999,0.22,262.688402
rp2040_2,65,4,2,1000,4.99,0.205,262.628102
rp2040_2,65,4,3,1000,5.122,0.188,268.049145
rp2040_2,65,4,4,1000,4.987,0.209,262.03621499999997
rp2040_2,65,5,0,1000,5.064,0.211,265.51779700000003
rp2040_2,65,5,1,1000,5.228,0.172,271.707447
rp2040_2,65,5,2,1000,4.975,0.203,261.983374
rp2040_2,65,5,3,1000,5.233,0.186,272.02289399999995
rp2040_2,65,5,4,1000,4.907,0.21,259.632459
rp2040_2,65,6,0,1000,5.0,0.206,263.098013
rp2040_2,65,6,1,1000,4.989,0.203,263.257014
rp2040_2,65,6,2,1000,5.098,0.189,266.88541399999997
rp2040_2,65,6,3,1000,5.252,0.202,272.910309
rp2040_2,65,6,4,1000,5.096,0.183,266.75560600000006
rp2040_2,65,7,0,1000,5.318,0.178,275.80782400000004
rp2040_2,65,7,1,1000,5.262,0.182,272.94065
rp2040_2,65,7,2,1000,5.411,0.193,278.654168
rp2040_2,65,7,3,1000,4.988,0.183,262.492821
rp2040_2,65,7,4,1000,5.075,0.196,265.671869
rp2040_2,65,8,0,1000,5.313,0.214,275.25249699999995
rp2040_2,65,8,1,1000,5.12,0.198,267.488868
rp2040_2,65,8,2,1000,4.908,0.198,259.59292600000003
rp2040_2,65,8,3,1000,5.143,0.208,268.616775
rp2040_2,65,8,4,1000,5.342,0.175,276.225998
rp2040_2,65,9,0,1000,5.253,0.187,272.887234
rp2040_2,65,9,1,1000,4.867,0.196,258.063241
rp2040_2,65,9,2,1000,5.285,0.197,273.87028100000003
rp2040_2,65,9,3,1000,5.148,0.203,268.708301
rp2040_2,65,9,4,1000,4.884,0.219,258.583129
rp2040_1,87,0,0,1000,3.974,0.253,335.289869
rp2040_1,87,0,1,1000,3.8,0.27,325.248672
rp2040_1,87,0,2,1000,4.007,0.27,337.172838
rp2040_1,87,0,3,1000,3.865,0.271,329.244704
rp2040_1,87,0,4,1000,3.926,0.253,332.630848
rp2040_1,87,1,0,1000,3.91,0.262,332.155103
rp2040_1,87,1,1,1000,4.074,0.269,340.566402
rp2040_1,87,1,2,1000,3.958,0.253,335.135045
rp2040_1,87,1,3,1000,4.164,0.231,345.757908
rp2040_1,87,1,4,1000,3.903,0.248,331.835433
rp2040_1,87,2,0,1000,3.918,0.229,332.08706800000004
rp2040_1,87,2,1,1000,3.792,0.266,325.300284
rp2040_1,87,2,2,1000,3.852,0.291,328.589923
rp2040_1,87,2,3,1000,3.855,0.26,328.697407
rp2040_1,87,2,4,1000,3.873,0.273,329.437228
rp2040_1,87,3,0,1000,3.785,0.29,324.734136
rp2040_1,87,3,1,1000,3.852,0.273,328.580841
rp2040_1,87,3,2,1000,4.049,0.26,339.375669
rp2040_1,87,3,3,1000,3.755,0.266,323.320413
rp2040_1,87,3,4,1000,3.84,0.266,328.107332
rp2040_1,87,4,0,1000,3.922,0.263,332.504082
rp2040_1,87,4,1,1000,4.037,0.262,338.83214899999996
rp2040_1,87,4,2,1000,3.991,0.258,336.981353
rp2040_1,87,4,3,1000,3.803,0.261,326.108722
rp2040_1,87,4,4,1000,3.813,0.263,326.435592
rp2040_1,87,5,0,1000,3.913,0.249,332.01067800000004
rp2040_1,87,5,1,1000,3.808,0.264,325.849346
rp2040_1,87,5,2,1000,3.969,0.248,335.20059399999997
rp2040_1,87,5,3,1000,3.837,0.247,327.374489
rp2040_1,87,5,4,1000,3.91,0.268,332.21702799999997
rp2040_1,87,6,0,1000,3.918,0.251,332.050527
rp2040_1,87,6,1,1000,3.914,0.262,331.292481
rp2040_1,87,6,2,1000,4.001,0.248,337.264345
rp2040_1,87,6,3,1000,3.903,0.257,331.851551
rp2040_1,87,6,4,1000,4.032,0.251,338.74435800000003
rp2040_1,87,7,0,1000,3.947,0.248,333.982416
rp2040_1,87,7,1,1000,3.782,0.283,324.776401
rp2040_1,87,7,2,1000,3.82,0.267,326.922838
rp2040_1,87,7,3,1000,3.963,0.255,335.423718
rp2040_1,87,7,4,1000,4.111,0.248,343.33696999999995
rp2040_1,87,8,0,1000,3.69,0.262,319.001368
rp2040_1,87,8,1,1000,3.918,0.25,331.91150300000004
rp2040_1,87,8,2,1000,3.966,0.255,334.436337
rp2040_1,87,8,3,1000,4.037,0.26,339.10838900000005
rp2040_1,87,8,4,1000,3.947,0.242,334.428108
rp2040_1,87,9,0,1000,3.784,0.271,325.012861
rp2040_1,87,9,1,1000,3.877,0.255,330.36738299999996
