board,set,invocation,key,message,partition,attempt,reason,entry_us,z_check_us,w0_check_us,ct0_check_us,hint_check_us,exit_us,attempt_us
rp2040_1,44,0,0,0,diagnostic_calibration,1,1,33726,59511,0,0,0,59624,25898
rp2040_1,44,0,0,0,diagnostic_calibration,2,0,59629,85244,90653,95957,96423,96429,36800
rp2040_1,44,1,1,0,diagnostic_calibration,1,2,33737,59522,64939,0,0,65029,31292
rp2040_1,44,1,1,0,diagnostic_calibration,2,1,65034,90643,0,0,0,90707,25673
rp2040_1,44,1,1,0,diagnostic_calibration,3,2,90712,116275,121661,0,0,121675,30963
rp2040_1,44,1,1,0,diagnostic_calibration,4,2,121678,147235,152621,0,0,152653,30975
rp2040_1,44,1,1,0,diagnostic_calibration,5,1,152655,178221,0,0,0,178233,25578
rp2040_1,44,1,1,0,diagnostic_calibration,6,0,178235,203783,209169,214466,214932,214937,36702
rp2040_1,44,2,2,0,diagnostic_calibration,1,1,33717,59510,0,0,0,59586,25869
rp2040_1,44,2,2,0,diagnostic_calibration,2,0,59591,85190,90596,95900,96366,96371,36780
rp2040_1,44,3,3,0,diagnostic_calibration,1,2,33719,59514,64929,0,0,64964,31245
rp2040_1,44,3,3,0,diagnostic_calibration,2,2,64969,90592,95982,0,0,96078,31109
rp2040_1,44,3,3,0,diagnostic_calibration,3,0,96081,121653,127041,132339,132804,132810,36729
rp2040_1,44,4,4,0,diagnostic_calibration,1,1,33718,59497,0,0,0,59542,25824
rp2040_1,44,4,4,0,diagnostic_calibration,2,1,59547,85164,0,0,0,85207,25660
rp2040_1,44,4,4,0,diagnostic_calibration,3,2,85210,110773,116175,0,0,116216,31006
rp2040_1,44,4,4,0,diagnostic_calibration,4,2,116220,141786,147172,0,0,147185,30965
rp2040_1,44,4,4,0,diagnostic_calibration,5,2,147189,172741,178127,0,0,178225,31036
rp2040_1,44,4,4,0,diagnostic_calibration,6,1,178228,203785,0,0,0,203800,25572
rp2040_1,44,4,4,0,diagnostic_calibration,7,1,203802,229354,0,0,0,229368,25566
rp2040_1,44,4,4,0,diagnostic_calibration,8,2,229371,254929,260314,0,0,260392,31021
rp2040_1,44,4,4,0,diagnostic_calibration,9,1,260395,285948,0,0,0,285985,25590
rp2040_1,44,4,4,0,diagnostic_calibration,10,2,285989,311542,316927,0,0,316973,30984
rp2040_1,44,4,4,0,diagnostic_calibration,11,2,316976,342533,347918,0,0,347980,31004
rp2040_1,44,4,4,0,diagnostic_calibration,12,0,347983,373534,378920,384217,384683,384687,36704
rp2040_1,44,5,5,0,diagnostic_holdout,1,0,33723,59511,64927,70231,70697,70702,36979
rp2040_1,44,6,6,0,diagnostic_holdout,1,2,33729,59517,64933,0,0,64950,31221
rp2040_1,44,6,6,0,diagnostic_holdout,2,2,64954,90564,95954,0,0,95963,31009
