board,set,invocation,key,message,partition,attempt,reason,entry_us,z_check_us,w0_check_us,ct0_check_us,hint_check_us,exit_us,attempt_us
rp2040_2,65,0,0,0,diagnostic_calibration,1,1,56956,91476,0,0,0,91592,34636
rp2040_2,65,0,0,0,diagnostic_calibration,2,0,91597,125956,134029,141980,142667,142670,51073
rp2040_2,65,1,1,0,diagnostic_calibration,1,0,56976,91498,99582,107532,108220,108226,51250
rp2040_2,65,2,2,0,diagnostic_calibration,1,1,56982,91508,0,0,0,91571,34589
rp2040_2,65,2,2,0,diagnostic_calibration,2,1,91577,125942,0,0,0,125952,34375
rp2040_2,65,2,2,0,diagnostic_calibration,3,2,125956,160289,168361,0,0,168414,42458
rp2040_2,65,2,2,0,diagnostic_calibration,4,1,168416,202747,0,0,0,202755,34339
rp2040_2,65,2,2,0,diagnostic_calibration,5,2,202756,237059,245120,0,0,245156,42400
rp2040_2,65,2,2,0,diagnostic_calibration,6,2,245156,279492,287553,0,0,287558,42402
rp2040_2,65,2,2,0,diagnostic_calibration,7,2,287558,321888,329949,0,0,329995,42437
rp2040_2,65,2,2,0,diagnostic_calibration,8,2,329995,364339,372400,0,0,372512,42517
rp2040_2,65,2,2,0,diagnostic_calibration,9,2,372513,406833,414894,0,0,415021,42508
rp2040_2,65,2,2,0,diagnostic_calibration,10,2,415022,449356,457417,0,0,457471,42449
rp2040_2,65,2,2,0,diagnostic_calibration,11,1,457471,491797,0,0,0,491861,34390
rp2040_2,65,2,2,0,diagnostic_calibration,12,1,491862,526167,0,0,0,526281,34419
rp2040_2,65,2,2,0,diagnostic_calibration,13,0,526281,560587,568648,576594,577280,577283,51002
rp2040_2,65,3,3,0,diagnostic_calibration,1,1,57007,91520,0,0,0,91541,34534
rp2040_2,65,3,3,0,diagnostic_calibration,2,1,91547,125905,0,0,0,125956,34409
rp2040_2,65,3,3,0,diagnostic_calibration,3,0,125957,160271,168345,176295,176981,176984,51027
rp2040_2,65,4,4,0,diagnostic_calibration,1,1,56961,91469,0,0,0,91541,34580
rp2040_2,65,4,4,0,diagnostic_calibration,2,2,91547,125895,133970,0,0,133999,42452
rp2040_2,65,4,4,0,diagnostic_calibration,3,2,134002,168341,176404,0,0,176420,42418
rp2040_2,65,4,4,0,diagnostic_calibration,4,2,176421,210748,218809,0,0,218958,42537
rp2040_2,65,4,4,0,diagnostic_calibration,5,1,218958,253282,0,0,0,253385,34427
rp2040_2,65,4,4,0,diagnostic_calibration,6,2,253385,287698,295759,0,0,295889,42504
rp2040_2,65,4,4,0,diagnostic_calibration,7,2,295890,330220,338281,0,0,338307,42417
rp2040_2,65,4,4,0,diagnostic_calibration,8,0,338308,372645,380706,388652,389338,389341,51033
rp2040_2,65,5,5,0,diagnostic_holdout,1,0,56986,91518,99602,107552,108238,108244,51258
rp2040_2,65,6,6,0,diagnostic_holdout,1,1,56960,91477,0,0,0,91524,34564
rp2040_2,65,6,6,0,diagnostic_holdout,2,0,91529,125878,133952,141903,142588,142591,51062
rp2040_2,65,7,7,0,diagnostic_holdout,1,2,56984,91505,99588,0,0,99652,42668
rp2040_2,65,7,7,0,diagnostic_holdout,2,1,99658,134056,0,0,0,134147,34489
rp2040_2,65,7,7,0,diagnostic_holdout,3,1,134150,168474,0,0,0,168557,34407
rp2040_2,65,7,7,0,diagnostic_holdout,4,1,168558,202866,0,0,0,202970,34412
rp2040_2,65,7,7,0,diagnostic_holdout,5,1,202970,237287,0,0,0,237357,34387
rp2040_2,65,7,7,0,diagnostic_holdout,6,1,237358,271667,0,0,0,271733,34375
rp2040_2,65,7,7,0,diagnostic_holdout,7,2,271733,306046,314109,0,0,314141,42408
rp2040_2,65,7,7,0,diagnostic_holdout,8,0,314142,348473,356534,364481,365167,365170,51028
rp2040_2,65,8,8,0,diagnostic_holdout,1,0,56983,91508,99592,107542,108229,108235,51252
rp2040_2,65,9,9,0,diagnostic_holdout,1,1,56996,91524,0,0,0,91568,34572
rp2040_2,65,9,9,0,diagnostic_holdout,2,2,91574,125940,134013,0,0,134109,42535
rp2040_2,65,9,9,0,diagnostic_holdout,3,1,134112,168449,0,0,0,168496,34384
rp2040_2,65,9,9,0,diagnostic_holdout,4,0,168497,202812,210875,218822,219508,219511,51014
rp2040_2,65,10,0,1,diagnostic_calibration,1,2,56960,91478,99561,0,0,99651,42691
rp2040_2,65,10,0,1,diagnostic_calibration,2,2,99657,134040,142104,0,0,142176,42519
rp2040_2,65,10,0,1,diagnostic_calibration,3,1,142178,176521,0,0,0,176639,34461
rp2040_2,65,10,0,1,diagnostic_calibration,4,0,176640,210953,219014,226960,227647,227651,51011
rp2040_2,65,11,1,1,diagnostic_calibration,1,1,56966,91478,0,0,0,91599,34633
rp2040_2,65,11,1,1,diagnostic_calibration,2,1,91604,125951,0,0,0,125961,34357
rp2040_2,65,11,1,1,diagnostic_calibration,3,1,125964,160286,0,0,0,160379,34415
rp2040_2,65,11,1,1,diagnostic_calibration,4,1,160380,194698,0,0,0,194705,34325
rp2040_2,65,11,1,1,diagnostic_calibration,5,0,194706,229015,237086,245036,245722,245725,51019
rp2040_2,65,12,2,1,diagnostic_calibration,1,2,57000,91527,99610,0,0,99699,42699
rp2040_2,65,12,2,1,diagnostic_calibration,2,0,99704,134085,142151,150097,150783,150786,51082
rp2040_2,65,13,3,1,diagnostic_calibration,1,2,56973,91488,99571,0,0,99633,42660
rp2040_2,65,13,3,1,diagnostic_calibration,2,0,99637,134026,142090,150037,150723,150726,51089
rp2040_2,65,14,4,1,diagnostic_calibration,1,1,56968,91468,0,0,0,91490,34522
rp2040_2,65,14,4,1,diagnostic_calibration,2,1,91494,125865,0,0,0,125888,34394
rp2040_2,65,14,4,1,diagnostic_calibration,3,1,125891,160212,0,0,0,160263,34372
rp2040_2,65,14,4,1,diagnostic_calibration,4,2,160264,194577,202648,0,0,202694,42430
rp2040_2,65,14,4,1,diagnostic_calibration,5,0,202695,237034,245098,253045,253730,253734,51039
rp2040_2,65,15,5,1,diagnostic_holdout,1,2,56975,91506,99589,0,0,99651,42676
rp2040_2,65,15,5,1,diagnostic_holdout,2,2,99656,134045,142112,0,0,142173,42517
rp2040_2,65,15,5,1,diagnostic_holdout,3,2,142174,176515,184578,0,0,184597,42423
rp2040_2,65,15,5,1,diagnostic_holdout,4,2,184598,218944,227005,0,0,227011,42413
rp2040_2,65,15,5,1,diagnostic_holdout,5,1,227011,261339,0,0,0,261449,34438
rp2040_2,65,15,5,1,diagnostic_holdout,6,2,261449,295763,303824,0,0,303895,42446
rp2040_2,65,15,5,1,diagnostic_holdout,7,2,303895,338226,346287,0,0,346290,42395
rp2040_2,65,15,5,1,diagnostic_holdout,8,2,346291,380622,388683,0,0,388754,42463
rp2040_2,65,15,5,1,diagnostic_holdout,9,0,388754,423078,431139,439085,439771,439774,51020
rp2040_2,65,16,6,1,diagnostic_holdout,1,0,56961,91481,99565,107516,108202,108208,51247
rp2040_2,65,17,7,1,diagnostic_holdout,1,1,56976,91506,0,0,0,91549,34573
rp2040_2,65,17,7,1,diagnostic_holdout,2,1,91554,125909,0,0,0,125926,34372
rp2040_2,65,17,7,1,diagnostic_holdout,3,0,125927,160252,168324,176274,176961,176964,51037
rp2040_2,65,18,8,1,diagnostic_holdout,1,1,56953,91478,0,0,0,91572,34619
rp2040_2,65,18,8,1,diagnostic_holdout,2,1,91576,125934,0,0,0,126062,34486
rp2040_2,65,18,8,1,diagnostic_holdout,3,2,126063,160389,168459,0,0,168518,42455
rp2040_2,65,18,8,1,diagnostic_holdout,4,1,168519,202857,0,0,0,202975,34456
rp2040_2,65,18,8,1,diagnostic_holdout,5,1,202976,237289,0,0,0,237335,34359
rp2040_2,65,18,8,1,diagnostic_holdout,6,1,237336,271643,0,0,0,271684,34348
rp2040_2,65,18,8,1,diagnostic_holdout,7,0,271685,306000,314062,322009,322695,322698,51013
rp2040_2,65,19,9,1,diagnostic_holdout,1,1,56970,91501,0,0,0,91608,34638
rp2040_2,65,19,9,1,diagnostic_holdout,2,2,91613,125986,134058,0,0,134101,42488
rp2040_2,65,19,9,1,diagnostic_holdout,3,2,134103,168458,176522,0,0,176542,42439
rp2040_2,65,19,9,1,diagnostic_holdout,4,2,176543,210876,218937,0,0,218984,42441
rp2040_2,65,19,9,1,diagnostic_holdout,5,0,218985,253316,261377,269323,270010,270013,51028
rp2040_2,65,20,0,2,diagnostic_calibration,1,2,56982,91518,99601,0,0,99656,42674
rp2040_2,65,20,0,2,diagnostic_calibration,2,2,99662,134047,142113,0,0,142182,42520
rp2040_2,65,20,0,2,diagnostic_calibration,3,1,142184,176523,0,0,0,176606,34422
rp2040_2,65,20,0,2,diagnostic_calibration,4,1,176608,210920,0,0,0,210953,34345
rp2040_2,65,20,0,2,diagnostic_calibration,5,1,210953,245265,0,0,0,245311,34358
rp2040_2,65,20,0,2,diagnostic_calibration,6,1,245312,279619,0,0,0,279681,34369
rp2040_2,65,20,0,2,diagnostic_calibration,7,1,279681,313992,0,0,0,314106,34425
rp2040_2,65,20,0,2,diagnostic_calibration,8,2,314107,348416,356477,0,0,356596,42489
rp2040_2,65,20,0,2,diagnostic_calibration,9,2,356597,390926,398987,0,0,399111,42514
rp2040_2,65,20,0,2,diagnostic_calibration,10,0,399112,433444,441505,449452,450137,450140,51028
rp2040_2,65,21,1,2,diagnostic_calibration,1,0,56967,91487,99570,107521,108206,108213,51246
rp2040_2,65,22,2,2,diagnostic_calibration,1,2,56984,91515,99598,0,0,99625,42641
rp2040_2,65,22,2,2,diagnostic_calibration,2,2,99630,134008,142073,0,0,142089,42459
rp2040_2,65,22,2,2,diagnostic_calibration,3,2,142091,176428,184491,0,0,184563,42472
rp2040_2,65,22,2,2,diagnostic_calibration,4,0,184565,218906,226967,234914,235599,235602,51037
rp2040_2,65,23,3,2,diagnostic_calibration,1,2,56972,91494,99578,0,0,99632,42660
rp2040_2,65,23,3,2,diagnostic_calibration,2,1,99637,134017,0,0,0,134087,34450
rp2040_2,65,23,3,2,diagnostic_calibration,3,2,134088,168409,176474,0,0,176501,42413
rp2040_2,65,23,3,2,diagnostic_calibration,4,2,176501,210847,218909,0,0,218919,42418
rp2040_2,65,23,3,2,diagnostic_calibration,5,2,218919,253247,261308,0,0,261357,42438
rp2040_2,65,23,3,2,diagnostic_calibration,6,0,261357,295687,303748,311694,312381,312384,51027
rp2040_2,65,24,4,2,diagnostic_calibration,1,1,56965,91466,0,0,0,91509,34544
rp2040_2,65,24,4,2,diagnostic_calibration,2,1,91513,125867,0,0,0,125981,34468
rp2040_2,65,24,4,2,diagnostic_calibration,3,1,125981,160296,0,0,0,160401,34420
rp2040_2,65,24,4,2,diagnostic_calibration,4,1,160402,194710,0,0,0,194718,34316
rp2040_2,65,24,4,2,diagnostic_calibration,5,2,194718,229023,237094,0,0,237190,42472
rp2040_2,65,24,4,2,diagnostic_calibration,6,2,237191,271536,279599,0,0,279681,42490
rp2040_2,65,24,4,2,diagnostic_calibration,7,2,279682,314020,322081,0,0,322139,42457
rp2040_2,65,24,4,2,diagnostic_calibration,8,0,322139,356467,364528,372474,373160,373164,51025
rp2040_2,65,25,5,2,diagnostic_holdout,1,0,56968,91488,99572,107523,108209,108215,51247
rp2040_2,65,26,6,2,diagnostic_holdout,1,2,56999,91521,99604,0,0,99762,42763
rp2040_2,65,26,6,2,diagnostic_holdout,2,0,99767,134153,142217,150164,150851,150855,51088
rp2040_2,65,27,7,2,diagnostic_holdout,1,1,56988,91506,0,0,0,91543,34555
rp2040_2,65,27,7,2,diagnostic_holdout,2,1,91548,125916,0,0,0,126039,34491
rp2040_2,65,27,7,2,diagnostic_holdout,3,2,126040,160356,168427,0,0,168439,42399
rp2040_2,65,27,7,2,diagnostic_holdout,4,1,168440,202780,0,0,0,202838,34398
rp2040_2,65,27,7,2,diagnostic_holdout,5,2,202838,237156,245220,0,0,245344,42506
rp2040_2,65,27,7,2,diagnostic_holdout,6,0,245344,279676,287737,295683,296369,296372,51028
rp2040_2,65,28,8,2,diagnostic_holdout,1,1,56967,91495,0,0,0,91555,34588
rp2040_2,65,28,8,2,diagnostic_holdout,2,2,91560,125911,133984,0,0,134058,42498
rp2040_2,65,28,8,2,diagnostic_holdout,3,1,134060,168401,0,0,0,168436,34376
rp2040_2,65,28,8,2,diagnostic_holdout,4,0,168436,202753,210817,218765,219451,219454,51018
rp2040_2,65,29,9,2,diagnostic_holdout,1,1,56997,91541,0,0,0,91579,34582
rp2040_2,65,29,9,2,diagnostic_holdout,2,2,91586,125958,134032,0,0,134166,42580
rp2040_2,65,29,9,2,diagnostic_holdout,3,1,134169,168513,0,0,0,168638,34469
rp2040_2,65,29,9,2,diagnostic_holdout,4,2,168640,202947,211010,0,0,211060,42420
rp2040_2,65,29,9,2,diagnostic_holdout,5,1,211060,245390,0,0,0,245511,34451
rp2040_2,65,29,9,2,diagnostic_holdout,6,2,245511,279825,287886,0,0,288014,42503
rp2040_2,65,29,9,2,diagnostic_holdout,7,2,288015,322340,330401,0,0,330432,42417
rp2040_2,65,29,9,2,diagnostic_holdout,8,1,330433,364763,0,0,0,364773,34340
rp2040_2,65,29,9,2,diagnostic_holdout,9,2,364774,399086,407147,0,0,407156,42382
rp2040_2,65,29,9,2,diagnostic_holdout,10,1,407157,441482,0,0,0,441528,34371
rp2040_2,65,29,9,2,diagnostic_holdout,11,2,441528,475837,483898,0,0,483994,42466
rp2040_2,65,29,9,2,diagnostic_holdout,12,2,483995,518323,526384,0,0,526404,42409
rp2040_2,65,29,9,2,diagnostic_holdout,13,0,526405,560726,568787,576733,577420,577423,51018
rp2040_2,65,30,0,3,diagnostic_calibration,1,2,56995,91533,99616,0,0,99753,42758
rp2040_2,65,30,0,3,diagnostic_calibration,2,0,99759,134153,142220,150166,150851,150856,51097
