board,set,invocation,key,message,partition,attempt,reason,entry_us,z_check_us,w0_check_us,ct0_check_us,hint_check_us,exit_us,attempt_us
rp2040_2,44,0,0,0,diagnostic_calibration,1,0,33740,59523,64940,70244,70710,70716,36976
rp2040_2,44,1,1,0,diagnostic_calibration,1,2,33700,59506,64922,0,0,64939,31239
rp2040_2,44,1,1,0,diagnostic_calibration,2,0,64945,90547,95935,101233,101699,101704,36759
rp2040_2,44,2,2,0,diagnostic_calibration,1,1,33717,59526,0,0,0,59630,25913
rp2040_2,44,2,2,0,diagnostic_calibration,2,2,59635,85230,90636,0,0,90652,31017
rp2040_2,44,2,2,0,diagnostic_calibration,3,2,90656,116221,121608,0,0,121625,30969
rp2040_2,44,2,2,0,diagnostic_calibration,4,1,121629,147184,0,0,0,147239,25610
rp2040_2,44,2,2,0,diagnostic_calibration,5,1,147240,172791,0,0,0,172888,25648
rp2040_2,44,2,2,0,diagnostic_calibration,6,2,172891,198442,203828,0,0,203874,30983
rp2040_2,44,2,2,0,diagnostic_calibration,7,2,203877,229435,234820,0,0,234907,31030
rp2040_2,44,2,2,0,diagnostic_calibration,8,1,234910,260467,0,0,0,260530,25620
rp2040_2,44,2,2,0,diagnostic_calibration,9,1,260534,286080,0,0,0,286148,25614
rp2040_2,44,2,2,0,diagnostic_calibration,10,2,286150,311703,317089,0,0,317152,31002
rp2040_2,44,2,2,0,diagnostic_calibration,11,1,317154,342708,0,0,0,342784,25630
rp2040_2,44,2,2,0,diagnostic_calibration,12,2,342788,368346,373731,0,0,373812,31024
rp2040_2,44,2,2,0,diagnostic_calibration,13,0,373815,399371,404756,410054,410520,410525,36710
rp2040_2,44,3,3,0,diagnostic_calibration,1,1,33749,59534,0,0,0,59647,25898
rp2040_2,44,3,3,0,diagnostic_calibration,2,2,59653,85255,90660,0,0,90732,31079
rp2040_2,44,3,3,0,diagnostic_calibration,3,0,90736,116306,121694,126991,127456,127462,36726
rp2040_2,44,4,4,0,diagnostic_calibration,1,1,33754,59531,0,0,0,59610,25856
rp2040_2,44,4,4,0,diagnostic_calibration,2,0,59614,85217,90620,95924,96389,96394,36780
rp2040_2,44,5,5,0,diagnostic_holdout,1,1,33717,59509,0,0,0,59545,25828
rp2040_2,44,5,5,0,diagnostic_holdout,2,2,59550,85142,90549,0,0,90619,31069
rp2040_2,44,5,5,0,diagnostic_holdout,3,2,90623,116195,121581,0,0,121665,31042
rp2040_2,44,5,5,0,diagnostic_holdout,4,2,121669,147222,152609,0,0,152672,31003
rp2040_2,44,5,5,0,diagnostic_holdout,5,2,152675,178228,183613,0,0,183638,30963
rp2040_2,44,5,5,0,diagnostic_holdout,6,2,183640,209204,214589,0,0,214663,31023
rp2040_2,44,5,5,0,diagnostic_holdout,7,2,214667,240222,245608,0,0,245613,30946
rp2040_2,44,5,5,0,diagnostic_holdout,8,1,245616,271176,0,0,0,271250,25634
rp2040_2,44,5,5,0,diagnostic_holdout,9,0,271252,296812,302197,307495,307960,307966,36714
rp2040_2,44,6,6,0,diagnostic_holdout,1,1,33736,59530,0,0,0,59625,25889
rp2040_2,44,6,6,0,diagnostic_holdout,2,0,59630,85233,90637,95941,96407,96411,36781
rp2040_2,44,7,7,0,diagnostic_holdout,1,1,33755,59557,0,0,0,59631,25876
rp2040_2,44,7,7,0,diagnostic_holdout,2,1,59636,85233,0,0,0,85254,25618
rp2040_2,44,7,7,0,diagnostic_holdout,3,1,85257,110824,0,0,0,110908,25651
rp2040_2,44,7,7,0,diagnostic_holdout,4,0,110911,136479,141881,147185,147651,147656,36745
rp2040_2,44,8,8,0,diagnostic_holdout,1,0,33705,59492,64908,70212,70678,70684,36979
rp2040_2,44,9,9,0,diagnostic_holdout,1,0,33711,59489,64906,70210,70676,70682,36971
rp2040_2,44,10,0,1,diagnostic_calibration,1,1,33759,59569,0,0,0,59682,25923
rp2040_2,44,10,0,1,diagnostic_calibration,2,1,59687,85283,0,0,0,85326,25639
rp2040_2,44,10,0,1,diagnostic_calibration,3,0,85329,110889,116293,121597,122063,122067,36738
rp2040_2,44,11,1,1,diagnostic_calibration,1,2,33736,59537,64954,0,0,64999,31263
rp2040_2,44,11,1,1,diagnostic_calibration,2,2,65003,90610,96000,0,0,96085,31082
rp2040_2,44,11,1,1,diagnostic_calibration,3,1,96088,121665,0,0,0,121710,25622
rp2040_2,44,11,1,1,diagnostic_calibration,4,2,121713,147261,152647,0,0,152655,30942
rp2040_2,44,11,1,1,diagnostic_calibration,5,2,152658,178213,183598,0,0,183687,31029
rp2040_2,44,11,1,1,diagnostic_calibration,6,1,183690,209244,0,0,0,209325,25635
rp2040_2,44,11,1,1,diagnostic_calibration,7,0,209327,234867,240252,245549,246015,246021,36694
rp2040_2,44,12,2,1,diagnostic_calibration,1,1,33708,59498,0,0,0,59540,25832
rp2040_2,44,12,2,1,diagnostic_calibration,2,2,59546,85151,90558,0,0,90587,31041
rp2040_2,44,12,2,1,diagnostic_calibration,3,1,90590,116171,0,0,0,116196,25606
rp2040_2,44,12,2,1,diagnostic_calibration,4,2,116198,141752,147138,0,0,147234,31036
rp2040_2,44,12,2,1,diagnostic_calibration,5,2,147238,172801,178186,0,0,178287,31049
rp2040_2,44,12,2,1,diagnostic_calibration,6,0,178289,203843,209229,214526,214992,214997,36708
rp2040_2,44,13,3,1,diagnostic_calibration,1,2,33722,59517,64933,0,0,64984,31262
rp2040_2,44,13,3,1,diagnostic_calibration,2,1,64989,90589,0,0,0,90614,25625
rp2040_2,44,13,3,1,diagnostic_calibration,3,2,90617,116180,121567,0,0,121617,31000
rp2040_2,44,13,3,1,diagnostic_calibration,4,1,121620,147168,0,0,0,147220,25600
rp2040_2,44,13,3,1,diagnostic_calibration,5,1,147224,172780,0,0,0,172789,25565
rp2040_2,44,13,3,1,diagnostic_calibration,6,2,172792,198349,203735,0,0,203794,31002
rp2040_2,44,13,3,1,diagnostic_calibration,7,1,203797,229352,0,0,0,229439,25642
rp2040_2,44,13,3,1,diagnostic_calibration,8,1,229441,254998,0,0,0,255063,25622
rp2040_2,44,13,3,1,diagnostic_calibration,9,0,255067,280627,286012,291310,291776,291781,36714
rp2040_2,44,14,4,1,diagnostic_calibration,1,1,33732,59515,0,0,0,59595,25863
rp2040_2,44,14,4,1,diagnostic_calibration,2,1,59601,85212,0,0,0,85316,25715
rp2040_2,44,14,4,1,diagnostic_calibration,3,2,85319,110886,116289,0,0,116330,31011
rp2040_2,44,14,4,1,diagnostic_calibration,4,2,116332,141892,147278,0,0,147324,30992
rp2040_2,44,14,4,1,diagnostic_calibration,5,1,147328,172889,0,0,0,172920,25592
rp2040_2,44,14,4,1,diagnostic_calibration,6,1,172923,198466,0,0,0,198490,25567
rp2040_2,44,14,4,1,diagnostic_calibration,7,1,198491,224048,0,0,0,224102,25611
rp2040_2,44,14,4,1,diagnostic_calibration,8,1,224106,249656,0,0,0,249680,25574
rp2040_2,44,14,4,1,diagnostic_calibration,9,1,249682,275229,0,0,0,275250,25568
rp2040_2,44,14,4,1,diagnostic_calibration,10,1,275253,300804,0,0,0,300861,25608
rp2040_2,44,14,4,1,diagnostic_calibration,11,2,300863,326422,331807,0,0,331866,31003
rp2040_2,44,14,4,1,diagnostic_calibration,12,1,331869,357419,0,0,0,357492,25623
rp2040_2,44,14,4,1,diagnostic_calibration,13,1,357494,383045,0,0,0,383138,25644
rp2040_2,44,14,4,1,diagnostic_calibration,14,1,383142,408695,0,0,0,408779,25637
rp2040_2,44,14,4,1,diagnostic_calibration,15,2,408783,434339,439725,0,0,439760,30977
rp2040_2,44,14,4,1,diagnostic_calibration,16,0,439763,465324,470709,476007,476472,476477,36714
rp2040_2,44,15,5,1,diagnostic_holdout,1,0,33694,59474,64890,70194,70660,70666,36972
rp2040_2,44,16,6,1,diagnostic_holdout,1,0,33739,59512,64930,70234,70700,70706,36967
rp2040_2,44,17,7,1,diagnostic_holdout,1,2,33725,59528,64946,0,0,64967,31242
rp2040_2,44,17,7,1,diagnostic_holdout,2,2,64971,90579,95967,0,0,95992,31021
rp2040_2,44,17,7,1,diagnostic_holdout,3,1,95995,121560,0,0,0,121621,25626
rp2040_2,44,17,7,1,diagnostic_holdout,4,2,121625,147182,152568,0,0,152642,31017
rp2040_2,44,17,7,1,diagnostic_holdout,5,1,152645,178203,0,0,0,178227,25582
rp2040_2,44,17,7,1,diagnostic_holdout,6,2,178231,203787,209172,0,0,209183,30952
rp2040_2,44,17,7,1,diagnostic_holdout,7,0,209187,234736,240121,245418,245884,245889,36702
rp2040_2,44,18,8,1,diagnostic_holdout,1,1,33722,59506,0,0,0,59601,25879
rp2040_2,44,18,8,1,diagnostic_holdout,2,1,59605,85211,0,0,0,85240,25635
rp2040_2,44,18,8,1,diagnostic_holdout,3,2,85244,110799,116202,0,0,116308,31064
rp2040_2,44,18,8,1,diagnostic_holdout,4,2,116312,141873,147260,0,0,147273,30961
rp2040_2,44,18,8,1,diagnostic_holdout,5,2,147275,172826,178212,0,0,178279,31004
rp2040_2,44,18,8,1,diagnostic_holdout,6,0,178283,203832,209218,214516,214982,214985,36702
rp2040_2,44,19,9,1,diagnostic_holdout,1,1,33699,59494,0,0,0,59568,25869
rp2040_2,44,19,9,1,diagnostic_holdout,2,0,59573,85194,90599,95903,96369,96374,36801
rp2040_2,44,20,0,2,diagnostic_calibration,1,0,33731,59512,64928,70232,70698,70704,36973
rp2040_2,44,21,1,2,diagnostic_calibration,1,2,33742,59529,64946,0,0,65017,31275
rp2040_2,44,21,1,2,diagnostic_calibration,2,2,65022,90619,96007,0,0,96036,31014
rp2040_2,44,21,1,2,diagnostic_calibration,3,0,96039,121608,126993,132291,132757,132761,36722
rp2040_2,44,22,2,2,diagnostic_calibration,1,2,33719,59509,64925,0,0,65023,31304
rp2040_2,44,22,2,2,diagnostic_calibration,2,0,65027,90628,96017,101315,101780,101786,36759
rp2040_2,44,23,3,2,diagnostic_calibration,1,2,33735,59522,64939,0,0,64956,31221
rp2040_2,44,23,3,2,diagnostic_calibration,2,0,64962,90572,95961,101259,101725,101730,36768
rp2040_2,44,24,4,2,diagnostic_calibration,1,1,33729,59516,0,0,0,59571,25842
rp2040_2,44,24,4,2,diagnostic_calibration,2,0,59575,85181,90586,95890,96356,96362,36787
rp2040_2,44,25,5,2,diagnostic_holdout,1,1,33717,59511,0,0,0,59614,25897
rp2040_2,44,25,5,2,diagnostic_holdout,2,1,59619,85221,0,0,0,85292,25673
rp2040_2,44,25,5,2,diagnostic_holdout,3,2,85295,110865,116269,0,0,116281,30986
