replicate,mode,period_ms,acq_index,start_off_us,duration_us,skipped
1,inline,100,511,-1,0,1
1,inline,100,521,-1,0,1
1,inline,100,522,-1,0,1
1,inline,100,523,-1,0,1
1,inline,100,524,-1,0,1
1,inline,100,525,-1,0,1
1,inline,100,531,-1,0,1
1,inline,100,532,-1,0,1
1,inline,100,533,-1,0,1
1,inline,100,534,-1,0,1
1,inline,100,535,-1,0,1
1,inline,100,536,-1,0,1
1,inline,100,541,-1,0,1
1,inline,100,542,-1,0,1
1,inline,100,543,-1,0,1
1,inline,100,551,-1,0,1
1,inline,100,552,-1,0,1
1,inline,100,553,-1,0,1
1,inline,100,554,-1,0,1
1,inline,100,555,-1,0,1
1,inline,100,561,-1,0,1
1,inline,100,562,-1,0,1
1,inline,100,563,-1,0,1
1,inline,100,564,-1,0,1
1,inline,100,565,-1,0,1
1,inline,100,566,-1,0,1
1,inline,100,567,-1,0,1
1,inline,100,568,-1,0,1
1,inline,100,569,-1,0,1
1,inline,100,570,-1,0,1
1,inline,100,571,-1,0,1
1,inline,100,572,-1,0,1
1,inline,100,574,-1,0,1
1,inline,100,575,-1,0,1
1,inline,100,576,-1,0,1
1,inline,100,581,-1,0,1
1,inline,100,582,-1,0,1
1,inline,100,583,-1,0,1
1,inline,100,584,-1,0,1
1,inline,100,585,-1,0,1
1,inline,100,586,-1,0,1
1,inline,100,587,-1,0,1
1,inline,100,591,-1,0,1
1,inline,100,592,-1,0,1
1,inline,100,593,-1,0,1
1,inline,100,594,-1,0,1
1,inline,100,601,-1,0,1
1,inline,100,602,-1,0,1
1,inline,100,603,-1,0,1
1,inline,100,611,-1,0,1
1,inline,100,621,-1,0,1
1,inline,100,622,-1,0,1
1,inline,100,631,-1,0,1
1,inline,100,641,-1,0,1
1,inline,100,642,-1,0,1
1,inline,100,651,-1,0,1
1,inline,100,652,-1,0,1
1,inline,100,653,-1,0,1
1,inline,100,654,-1,0,1
1,inline,100,655,-1,0,1
1,inline,100,661,-1,0,1
1,inline,100,671,-1,0,1
1,inline,100,672,-1,0,1
1,inline,100,673,-1,0,1
1,inline,100,681,-1,0,1
1,inline,100,682,-1,0,1
1,inline,100,691,-1,0,1
1,inline,100,701,-1,0,1
1,inline,100,702,-1,0,1
1,inline,100,711,-1,0,1
1,inline,100,712,-1,0,1
1,inline,100,713,-1,0,1
1,inline,100,714,-1,0,1
1,inline,100,715,-1,0,1
1,inline,100,721,-1,0,1
1,inline,100,722,-1,0,1
1,inline,100,723,-1,0,1
1,inline,100,724,-1,0,1
1,inline,100,725,-1,0,1
1,inline,100,726,-1,0,1
1,inline,100,731,-1,0,1
1,inline,100,732,-1,0,1
1,inline,100,733,-1,0,1
1,inline,100,741,-1,0,1
1,inline,100,742,-1,0,1
1,inline,100,743,-1,0,1
1,inline,100,751,-1,0,1
1,inline,100,752,-1,0,1
1,inline,100,753,-1,0,1
1,inline,100,754,-1,0,1
1,inline,100,755,-1,0,1
1,inline,100,761,-1,0,1
1,inline,100,762,-1,0,1
1,inline,100,771,-1,0,1
1,inline,100,772,-1,0,1
1,inline,100,773,-1,0,1
1,inline,100,774,-1,0,1
1,inline,100,775,-1,0,1
1,inline,100,781,-1,0,1
1,inline,100,791,-1,0,1
1,inline,100,792,-1,0,1
1,inline,100,793,-1,0,1
1,inline,100,794,-1,0,1
1,inline,100,795,-1,0,1
1,inline,100,796,-1,0,1
1,inline,100,797,-1,0,1
1,inline,100,798,-1,0,1
1,inline,100,799,-1,0,1
1,inline,100,800,-1,0,1
1,inline,100,801,-1,0,1
1,inline,100,802,-1,0,1
1,inline,100,803,-1,0,1
1,inline,100,805,-1,0,1
1,inline,100,806,-1,0,1
1,inline,100,807,-1,0,1
1,inline,100,808,-1,0,1
1,inline,100,809,-1,0,1
1,inline,100,810,-1,0,1
1,inline,100,812,-1,0,1
1,inline,100,813,-1,0,1
1,inline,100,814,-1,0,1
1,inline,100,815,-1,0,1
1,inline,100,816,-1,0,1
1,inline,100,817,-1,0,1
1,inline,100,821,-1,0,1
1,inline,100,831,-1,0,1
1,inline,100,832,-1,0,1
1,inline,100,841,-1,0,1
1,inline,100,842,-1,0,1
1,inline,100,851,-1,0,1
1,inline,100,861,-1,0,1
1,inline,100,871,-1,0,1
1,inline,100,872,-1,0,1
1,inline,100,873,-1,0,1
1,inline,100,874,-1,0,1
1,inline,100,875,-1,0,1
1,inline,100,881,-1,0,1
1,inline,100,882,-1,0,1
1,inline,100,883,-1,0,1
1,inline,100,884,-1,0,1
1,inline,100,885,-1,0,1
1,inline,100,886,-1,0,1
1,inline,100,887,-1,0,1
1,inline,100,888,-1,0,1
1,inline,100,889,-1,0,1
1,inline,100,890,-1,0,1
1,inline,100,891,-1,0,1
1,inline,100,892,-1,0,1
1,inline,100,894,-1,0,1
1,inline,100,895,-1,0,1
1,inline,100,901,-1,0,1
1,inline,100,902,-1,0,1
1,inline,100,911,-1,0,1
1,inline,100,912,-1,0,1
1,inline,100,921,-1,0,1
1,inline,100,922,-1,0,1
1,inline,100,923,-1,0,1
1,inline,100,931,-1,0,1
1,inline,100,932,-1,0,1
1,inline,100,933,-1,0,1
1,inline,100,934,-1,0,1
1,inline,100,941,-1,0,1
1,inline,100,942,-1,0,1
1,inline,100,943,-1,0,1
1,inline,100,951,-1,0,1
1,inline,100,952,-1,0,1
1,inline,100,953,-1,0,1
1,inline,100,954,-1,0,1
1,inline,100,955,-1,0,1
1,inline,100,956,-1,0,1
1,inline,100,957,-1,0,1
1,inline,100,958,-1,0,1
1,inline,100,961,-1,0,1
1,inline,100,971,-1,0,1
1,inline,100,981,-1,0,1
1,inline,100,982,-1,0,1
1,inline,100,991,-1,0,1
1,inline,100,992,-1,0,1
1,inline,100,993,-1,0,1
1,inline,100,994,-1,0,1
1,inline,100,995,-1,0,1
1,inline,100,996,-1,0,1
1,inline,100,997,-1,0,1
1,inline,100,998,-1,0,1
1,inline,100,1001,-1,0,1
1,inline,100,1002,-1,0,1
1,inline,100,1011,-1,0,1
1,inline,100,1012,-1,0,1
1,inline,100,1013,-1,0,1
1,inline,100,1014,-1,0,1
1,inline,100,1015,-1,0,1
1,inline,100,1016,-1,0,1
1,inline,100,1021,-1,0,1
1,inline,100,1022,-1,0,1
1,inline,100,1031,-1,0,1
1,inline,100,1032,-1,0,1
1,inline,100,1033,-1,0,1
1,inline,100,1034,-1,0,1
1,inline,100,1035,-1,0,1
1,inline,100,1036,-1,0,1
1,inline,100,1037,-1,0,1
1,inline,100,1041,-1,0,1
1,inline,100,1042,-1,0,1
1,inline,100,1043,-1,0,1
1,inline,100,1044,-1,0,1
1,inline,100,1051,-1,0,1
1,inline,100,1052,-1,0,1
1,inline,100,1061,-1,0,1
1,inline,100,1071,-1,0,1
1,inline,100,1081,-1,0,1
1,inline,100,1082,-1,0,1
1,inline,100,1091,-1,0,1
1,inline,100,1101,-1,0,1
1,inline,100,1102,-1,0,1
1,inline,100,1111,-1,0,1
1,inline,100,1112,-1,0,1
1,inline,100,1113,-1,0,1
1,inline,100,1114,-1,0,1
1,inline,100,1115,-1,0,1
1,inline,100,1116,-1,0,1
1,inline,100,1117,-1,0,1
1,inline,100,1118,-1,0,1
1,inline,100,1121,-1,0,1
1,inline,100,1131,-1,0,1
1,inline,100,1141,-1,0,1
1,inline,100,1142,-1,0,1
1,inline,100,1151,-1,0,1
1,inline,100,1161,-1,0,1
1,inline,100,1162,-1,0,1
1,inline,100,1163,-1,0,1
1,inline,100,1164,-1,0,1
1,inline,100,1165,-1,0,1
1,inline,100,1171,-1,0,1
1,inline,100,1172,-1,0,1
1,inline,100,1173,-1,0,1
1,inline,100,1174,-1,0,1
1,inline,100,1175,-1,0,1
1,inline,100,1176,-1,0,1
1,inline,100,1181,-1,0,1
1,inline,100,1182,-1,0,1
1,inline,100,1183,-1,0,1
1,inline,100,1191,-1,0,1
1,inline,100,1192,-1,0,1
1,inline,100,1193,-1,0,1
1,inline,100,1194,-1,0,1
1,inline,100,1195,-1,0,1
1,inline,100,1201,-1,0,1
1,inline,100,1202,-1,0,1
1,inline,100,1203,-1,0,1
1,inline,100,1204,-1,0,1
1,inline,100,1205,-1,0,1
1,inline,100,1206,-1,0,1
1,inline,100,1207,-1,0,1
1,inline,100,1208,-1,0,1
1,inline,100,1209,-1,0,1
1,inline,100,1210,-1,0,1
1,inline,100,1211,-1,0,1
1,inline,100,1212,-1,0,1
1,inline,100,1214,-1,0,1
1,inline,100,1215,-1,0,1
