board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_01,worker,250,1,37,0
rp2040_1,run_01,worker,250,1,38,0
rp2040_1,run_01,worker,250,1,39,0
rp2040_1,run_01,worker,250,1,40,0
rp2040_1,run_01,worker,250,1,41,0
rp2040_1,run_01,worker,250,1,42,0
rp2040_1,run_01,worker,250,1,43,0
rp2040_1,run_01,worker,250,1,44,0
rp2040_1,run_01,worker,250,1,45,0
rp2040_1,run_01,worker,250,1,46,0
rp2040_1,run_01,worker,250,1,47,0
rp2040_1,run_01,worker,250,1,48,0
rp2040_1,run_01,worker,250,1,49,0
rp2040_1,run_01,worker,250,1,50,0
rp2040_1,run_01,worker,250,1,51,0
rp2040_1,run_01,worker,250,1,52,0
rp2040_1,run_01,worker,250,1,53,0
rp2040_1,run_01,worker,250,1,54,0
rp2040_1,run_01,worker,250,1,55,0
rp2040_1,run_01,worker,250,1,56,0
rp2040_1,run_01,worker,250,1,57,0
rp2040_1,run_01,worker,250,1,58,0
rp2040_1,run_01,worker,250,1,59,0
rp2040_1,run_01,worker,250,1,60,0
rp2040_1,run_01,worker,250,1,61,0
rp2040_1,run_01,worker,250,1,62,0
rp2040_1,run_01,worker,250,1,63,0
rp2040_1,run_01,worker,250,1,64,0
rp2040_1,run_01,worker,250,1,65,0
rp2040_1,run_01,worker,250,1,66,0
rp2040_1,run_01,worker,250,1,67,0
rp2040_1,run_01,worker,250,1,68,0
rp2040_1,run_01,worker,250,1,69,0
rp2040_1,run_01,worker,250,1,70,0
rp2040_1,run_01,worker,250,1,71,0
rp2040_1,run_01,worker,250,1,72,0
rp2040_1,run_01,worker,250,1,73,0
rp2040_1,run_01,worker,250,1,74,0
rp2040_1,run_01,worker,250,1,75,0
rp2040_1,run_01,worker,250,1,76,0
rp2040_1,run_01,worker,250,1,77,0
rp2040_1,run_01,worker,250,1,78,0
rp2040_1,run_01,worker,250,1,79,0
rp2040_1,run_01,worker,250,1,80,0
rp2040_1,run_01,worker,250,1,81,0
rp2040_1,run_01,worker,250,1,82,0
rp2040_1,run_01,worker,250,1,83,0
rp2040_1,run_01,worker,250,1,84,0
rp2040_1,run_01,worker,250,1,85,0
rp2040_1,run_01,worker,250,1,86,0
rp2040_1,run_01,worker,250,1,87,0
rp2040_1,run_01,worker,250,1,88,0
rp2040_1,run_01,worker,250,1,89,0
rp2040_1,run_01,worker,250,1,90,0
rp2040_1,run_01,worker,250,1,91,0
rp2040_1,run_01,worker,250,1,92,0
rp2040_1,run_01,worker,250,1,93,0
rp2040_1,run_01,worker,250,1,94,0
rp2040_1,run_01,worker,250,1,95,0
rp2040_1,run_01,worker,250,1,96,0
rp2040_1,run_01,worker,250,1,97,0
rp2040_1,run_01,worker,250,1,98,0
rp2040_1,run_01,worker,250,1,99,0
rp2040_1,run_01,worker,250,1,100,0
rp2040_1,run_01,worker,250,1,101,0
rp2040_1,run_02,inline,250,1,0,0
rp2040_1,run_02,inline,250,1,1,15460
rp2040_1,run_02,inline,250,1,2,22
rp2040_1,run_02,inline,250,1,3,18
rp2040_1,run_02,inline,250,1,4,43
rp2040_1,run_02,inline,250,1,5,33
rp2040_1,run_02,inline,250,1,6,15
rp2040_1,run_02,inline,250,1,7,8
rp2040_1,run_02,inline,250,1,8,17
rp2040_1,run_02,inline,250,1,9,16
rp2040_1,run_02,inline,250,1,10,16
rp2040_1,run_02,inline,250,1,11,22
rp2040_1,run_02,inline,250,1,12,15
rp2040_1,run_02,inline,250,1,13,17
rp2040_1,run_02,inline,250,1,14,8
rp2040_1,run_02,inline,250,1,15,10
rp2040_1,run_02,inline,250,1,16,14
rp2040_1,run_02,inline,250,1,17,26
rp2040_1,run_02,inline,250,1,18,20
rp2040_1,run_02,inline,250,1,19,23
rp2040_1,run_02,inline,250,1,20,10
rp2040_1,run_02,inline,250,1,21,56
rp2040_1,run_02,inline,250,1,22,136
rp2040_1,run_02,inline,250,1,23,154
rp2040_1,run_02,inline,250,1,24,35
rp2040_1,run_02,inline,250,1,25,7
rp2040_1,run_02,inline,250,1,26,21
rp2040_1,run_02,inline,250,1,27,18
rp2040_1,run_02,inline,250,1,28,27
rp2040_1,run_02,inline,250,1,29,69
rp2040_1,run_02,inline,250,1,30,37
rp2040_1,run_02,inline,250,1,31,26
rp2040_1,run_02,inline,250,1,32,14
rp2040_1,run_02,inline,250,1,33,10
rp2040_1,run_02,inline,250,1,34,12
rp2040_1,run_02,inline,250,1,35,21
rp2040_1,run_02,inline,250,1,36,27
rp2040_1,run_02,inline,250,1,37,26
rp2040_1,run_02,inline,250,1,38,19
rp2040_1,run_02,inline,250,1,39,13
rp2040_1,run_02,inline,250,1,40,9
rp2040_1,run_02,inline,250,1,41,20
rp2040_1,run_02,inline,250,1,42,18
rp2040_1,run_02,inline,250,1,43,11
rp2040_1,run_02,inline,250,1,44,17
rp2040_1,run_02,inline,250,1,45,12
rp2040_1,run_02,inline,250,1,46,18
