replicate,mode,period_ms,hist_bucket_us,start_jitter,completion_response
2,inline,100,14500,0,0
2,inline,100,15000,0,0
2,inline,100,15500,0,0
2,inline,250,0,49682,49682
2,inline,250,500,451,451
2,inline,250,1000,37,37
2,inline,250,1500,38,38
2,inline,250,2000,75,75
2,inline,250,2500,111,111
2,inline,250,3000,487,487
2,inline,250,3500,37,37
2,inline,250,4000,1,1
2,inline,250,4500,38,38
2,inline,250,5000,151,76
2,inline,250,5500,74,149
2,inline,250,6000,38,38
2,inline,250,6500,38,38
2,inline,250,7000,113,113
2,inline,250,7500,75,0
2,inline,250,8000,225,300
2,inline,250,8500,150,112
2,inline,250,9000,0,38
2,inline,250,9500,223,223
2,inline,250,10000,0,0
2,inline,250,10500,0,0
2,inline,250,11000,0,0
2,inline,250,11500,0,0
2,inline,250,12000,0,0
2,inline,250,12500,0,0
2,inline,250,13000,0,0
2,inline,250,13500,0,0
2,inline,250,14000,0,0
2,inline,250,14500,0,0
2,inline,250,15000,0,0
2,inline,250,15500,0,0
2,inline,1000,0,57421,57421
2,inline,1000,500,113,113
2,inline,1000,1000,9,9
2,inline,1000,1500,10,10
2,inline,1000,2000,19,19
2,inline,1000,2500,27,27
2,inline,1000,3000,121,121
2,inline,1000,3500,9,9
2,inline,1000,4000,1,1
2,inline,1000,4500,10,10
2,inline,1000,5000,38,19
2,inline,1000,5500,18,37
2,inline,1000,6000,10,10
2,inline,1000,6500,10,10
2,inline,1000,7000,28,28
2,inline,1000,7500,19,9
2,inline,1000,8000,57,67
2,inline,1000,8500,37,28
2,inline,1000,9000,0,9
2,inline,1000,9500,55,55
2,inline,1000,10000,0,0
2,inline,1000,10500,0,0
2,inline,1000,11000,0,0
2,inline,1000,11500,0,0
2,inline,1000,12000,0,0
2,inline,1000,12500,0,0
2,inline,1000,13000,0,0
2,inline,1000,13500,0,0
2,inline,1000,14000,0,0
2,inline,1000,14500,0,0
2,inline,1000,15000,0,0
2,inline,1000,15500,0,0
2,worker,100,0,60000,60000
2,worker,100,500,0,0
2,worker,100,1000,0,0
2,worker,100,1500,0,0
2,worker,100,2000,0,0
2,worker,100,2500,0,0
2,worker,100,3000,0,0
2,worker,100,3500,0,0
2,worker,100,4000,0,0
2,worker,100,4500,0,0
2,worker,100,5000,0,0
2,worker,100,5500,0,0
2,worker,100,6000,0,0
2,worker,100,6500,0,0
2,worker,100,7000,0,0
2,worker,100,7500,0,0
2,worker,100,8000,0,0
2,worker,100,8500,0,0
2,worker,100,9000,0,0
2,worker,100,9500,0,0
2,worker,100,10000,0,0
2,worker,100,10500,0,0
2,worker,100,11000,0,0
2,worker,100,11500,0,0
2,worker,100,12000,0,0
2,worker,100,12500,0,0
2,worker,100,13000,0,0
2,worker,100,13500,0,0
2,worker,100,14000,0,0
2,worker,100,14500,0,0
2,worker,100,15000,0,0
2,worker,100,15500,0,0
2,worker,250,0,60000,60000
2,worker,250,500,0,0
2,worker,250,1000,0,0
2,worker,250,1500,0,0
2,worker,250,2000,0,0
2,worker,250,2500,0,0
2,worker,250,3000,0,0
2,worker,250,3500,0,0
2,worker,250,4000,0,0
2,worker,250,4500,0,0
2,worker,250,5000,0,0
2,worker,250,5500,0,0
2,worker,250,6000,0,0
2,worker,250,6500,0,0
2,worker,250,7000,0,0
2,worker,250,7500,0,0
2,worker,250,8000,0,0
2,worker,250,8500,0,0
2,worker,250,9000,0,0
2,worker,250,9500,0,0
2,worker,250,10000,0,0
2,worker,250,10500,0,0
2,worker,250,11000,0,0
2,worker,250,11500,0,0
2,worker,250,12000,0,0
2,worker,250,12500,0,0
2,worker,250,13000,0,0
2,worker,250,13500,0,0
2,worker,250,14000,0,0
2,worker,250,14500,0,0
2,worker,250,15000,0,0
2,worker,250,15500,0,0
2,worker,1000,0,60000,60000
2,worker,1000,500,0,0
2,worker,1000,1000,0,0
2,worker,1000,1500,0,0
2,worker,1000,2000,0,0
2,worker,1000,2500,0,0
2,worker,1000,3000,0,0
2,worker,1000,3500,0,0
2,worker,1000,4000,0,0
2,worker,1000,4500,0,0
2,worker,1000,5000,0,0
2,worker,1000,5500,0,0
